scheedName,Jobs,NumJobStarts,CoreHr,CommittedCoreHr,RequestCpus,MemoryUsage,MemoryMB,Min,25%,Median,75%,Max,Mean,Std
login01.hep.wisc.edu,2182,2182,1652.42,1652.34,1,464,458,0.01,0.38,0.69,1.05,5,0.76,0.51
login02.hep.wisc.edu,604,604,303.36,303.34,1,2442,2414,0,0.28,0.38,0.66,2.42,0.5,0.35
login05.hep.wisc.edu,4046,4054,8008.42,7792.58,1,3907,3815,0,0.12,0.63,3.02,15.39,1.93,2.54
lhcb-ce.chtc.wisc.edu,988,990,6902.33,6838.74,1,1954,1739,0.03,4.96,5.84,6.67,27.01,6.92,4
osggrid01.hep.wisc.edu,8700,8702,21141.05,21140.98,8,12208,11312,0.16,0.36,0.4,0.5,178.46,2.43,14.71
submit3.chtc.wisc.edu,2111,2283,2229.23,2021.21,2,29297,27208,0,0.04,0.08,0.54,23.94,0.96,2.46
login06.hep.wisc.edu,2513,2513,14694.36,13432.47,1,3174,3017,0,1.47,5.05,9.04,18.85,5.35,4.38
login03.hep.wisc.edu,408,408,175.57,172.96,1,2686,2447,0,0.01,0.02,0.14,5.81,0.42,1.2
sub-1.icecube.wisc.edu,29962,32222,81975.53,72000.3,1,9766,8072,0,0.01,0.05,2.6,25.96,2.4,4.09
cmsgrid01.hep.wisc.edu,1118,1118,16218.25,16218.1,8,12208,9934,0.02,2.68,2.68,2.68,479.9,14.51,68.44
submit2.chtc.wisc.edu,196781,208846,130775.69,128764.98,20,463868,443290,0,0.05,0.12,0.23,1045.22,0.65,4.42
sub-simprod-2.icecube.wisc.edu,2310,2470,10536.19,7371.35,64,73243,62249,0,0.02,0.02,0.91,271.18,3.19,14.92
submit-1.chtc.wisc.edu,111035,111442,62742.47,61656.47,8,122071,113016,0,0.02,0.1,0.15,81.4,0.56,2.49
login04.hep.wisc.edu,3496,3496,4472.3,3905.59,1,245,227,0,0.38,0.66,0.94,6.73,1.12,1.39
roy-submit.discovery.wisc.edu,1461,2052,5895.25,5502.8,1,29297,29275,0,0.13,0.21,9.73,69.74,3.77,6.15
exocet.bmrb.wisc.edu,1134,1371,4439.6,3401.4,1,391,371,0,0.08,0.21,4.86,15.99,3,4.04
login01.physics.wisc.edu,103,123,2174.19,2168.77,1,4639,4517,12.67,18.01,20.51,24.3,34.27,21.06,4.59
osghost.chtc.wisc.edu,260,263,512.19,488.16,1,2198,2048,0,1.09,2.25,2.61,3.7,1.88,1.01
deepdivesubmit2000.chtc.wisc.edu,220,419,118.15,25.3,1,9269,9270,0,0.05,0.06,0.07,1.29,0.12,0.19
townsend-submit.chtc.wisc.edu,4,7,4.95,0.66,1,1709,1675,0.03,0.03,0.16,0.24,0.31,0.17,0.14
htcondor.erc.wisc.edu,1,1,165.45,165.45,8,8315,8318,165.45,165.45,165.45,165.45,165.45,165.45,0
