scheedName,Jobs,NumJobStarts,CoreHr,CommittedCoreHr,RequestCpus,MemoryUsage,MemoryMB,Min,25%,Median,75%,Max,Mean,Std
roy-submit.discovery.wisc.edu,3174,3698,8132.37,4560.29,1,122071,119212,0,0,0.21,0.44,176.48,1.44,10.66
login05.hep.wisc.edu,5888,5888,3618.8,3535.04,1,3418,3232,0,0.25,0.32,0.43,12.01,0.6,1.42
lhcb-ce.chtc.wisc.edu,1360,1361,13076.06,13052.55,1,1954,1880,0.05,5.11,6.31,16.62,28.22,9.6,6.42
login02.hep.wisc.edu,939,1036,940.58,393.83,1,318,305,0,0.19,0.41,0.51,1.47,0.42,0.26
login06.hep.wisc.edu,25620,25620,13231.49,12599.61,1,3663,3617,0,0.02,0.05,0.2,11.99,0.49,1.16
sub-simprod-2.icecube.wisc.edu,3454,4350,11472.11,2942.41,2,73243,73117,0,0.02,0.02,0.02,95.81,0.85,6.08
cmsgrid01.hep.wisc.edu,996,996,19930.87,19930.71,8,17090,15993,0.02,2.68,2.68,2.69,480.84,20.01,88.43
submit-1.chtc.wisc.edu,32095,32610,26483.48,26224.22,16,73243,58283,0,0.01,0.13,0.89,2162.29,0.82,12.15
submit3.chtc.wisc.edu,40647,44529,68773.52,65831.6,1,7325,6303,0,0.47,0.75,1.64,70.63,1.62,1.98
login01.hep.wisc.edu,3954,4869,28006.94,21138.16,1,9766,9030,0,0.12,0.16,7.35,42.81,5.35,8.31
submit2.chtc.wisc.edu,87317,87838,143138.26,141765.1,20,366211,362674,0,0.12,0.49,1.82,961.81,1.62,6.11
sub-1.icecube.wisc.edu,178925,184861,95567.86,86155.29,1,9766,8169,0,0.08,0.22,0.41,13.59,0.48,0.87
osggrid01.hep.wisc.edu,5149,5149,23509.85,23509.82,8,14649,12665,0.16,0.41,0.71,0.75,182.18,4.57,20.86
exocet.bmrb.wisc.edu,26,47,1913.12,66.96,1,733,559,0,1.59,2.03,4.12,4.74,2.58,1.47
keles-submit.chtc.wisc.edu,5451,5451,1022.78,1021.74,1,1221,1001,0,0.13,0.16,0.21,1.15,0.19,0.1
login01.physics.wisc.edu,146,3263,8780.18,2673.02,1,4639,4523,11.18,15.33,18.28,19.78,34.19,18.31,3.83
htcondor.erc.wisc.edu,8,8,1098.68,1098.68,8,8658,8661,69.57,89.39,116.79,128.05,253.54,137.34,63.26
osghost.chtc.wisc.edu,276,281,584.21,550.91,1,2198,2048,0,1.23,2.01,2.76,3.84,2,1.03
login04.hep.wisc.edu,35,35,74.51,74.5,1,1221,1164,1.27,1.61,2.05,2.22,6.2,2.13,0.87
login03.hep.wisc.edu,156,156,5.27,5.06,1,269,268,0,0,0.01,0.01,0.92,0.03,0.13
roy-exec-1.discovery.wisc.edu,2,26,151.04,116.28,1,7325,6721,36.87,36.87,58.14,36.87,79.41,58.14,30.08
wid-submit.discovery.wisc.edu,4,4,0,0,1,122071,117023,0,0,0,0,0,0,0
submittest0000.chtc.wisc.edu,2,212,207.79,2,1,1,0,1,1,1,1,1,1,0
