scheedName,Jobs,NumJobStarts,CoreHr,CommittedCoreHr,RequestCpus,MemoryUsage,MemoryMB,Min,25%,Median,75%,Max,Mean,Std
submit-1.chtc.wisc.edu,38240,38266,46506.06,46423.21,16,17056,18095,0,0.28,1.4,1.6,318.96,1.21,2.86
sub-1.icecube.wisc.edu,57326,65855,131905.62,117853.75,1,19532,17447,0,0.09,3.05,3.15,47.6,2.06,1.55
login06.hep.wisc.edu,132206,132303,4291.83,3757.77,1,1709,1659,0,0.01,0.01,0.01,15.77,0.03,0.2
login03.hep.wisc.edu,79378,90616,1710,659.15,1,489,465,0,0.01,0.01,0.01,4.31,0.01,0.03
osggrid01.hep.wisc.edu,6231,6232,31375.66,31372.73,8,12208,10015,0.17,0.68,0.73,1.63,182.85,5.03,18.34
cmsgrid01.hep.wisc.edu,2557,2557,10142.02,10140.55,8,14649,12783,0.02,2.68,2.68,2.68,402.7,3.97,16.95
sub-simprod-2.icecube.wisc.edu,132,137,2084.25,2065.41,10,24415,22409,0,3.07,9.12,34.75,49.79,15.65,15.1
login01.hep.wisc.edu,7188,7188,4480.24,4444.17,1,977,744,0,0.4,0.54,0.75,4.29,0.62,0.42
exocet.bmrb.wisc.edu,28,30,5.22,4.98,1,2198,2088,0.03,0.05,0.09,0.21,0.99,0.18,0.24
login02.hep.wisc.edu,21743,21752,7028.14,6771.44,1,269,263,0,0.03,0.04,0.11,8.38,0.31,0.65
submit2.chtc.wisc.edu,3610,3611,13664.63,13653.31,4,2442,2280,0,0.03,0.04,5.24,32.9,3.78,6.95
osghost.chtc.wisc.edu,238,299,727.91,438.41,1,2198,2048,0,1.02,1.5,2.72,3.99,1.84,1.09
lhcb-ce.chtc.wisc.edu,416,416,4474.39,4474.39,1,1954,1796,3.28,5.79,6.88,17.64,33.32,10.76,6.84
login05.hep.wisc.edu,36267,36267,6338.65,6065.56,1,342,336,0,0.01,0.01,0.16,2.91,0.17,0.31
mir-submit1.discovery.wisc.edu,3,3,1.2,0,1,1,0,0,0,0,0,0,0,0
login04.hep.wisc.edu,188,188,118.36,118.35,1,4395,4365,0.09,0.14,0.4,1.05,2.5,0.63,0.56
htcondor.erc.wisc.edu,27,27,2342.8,2342.8,8,8658,8661,13.01,42.58,85.11,110.8,213.77,86.77,53.33
