scheedName,Jobs,NumJobStarts,CoreHr,CommittedCoreHr,RequestCpus,MemoryUsage,MemoryMB,Min,25%,Median,75%,Max,Mean,Std
sub-1.icecube.wisc.edu,63854,87410,79387.33,66197.26,1,4639,4521,0,0,0.01,3.07,20.18,1.04,1.52
submit3.chtc.wisc.edu,18945,20181,43073.31,41522.23,1,7325,5492,0,0.13,1.82,3.3,17.32,2.19,2.45
login02.hep.wisc.edu,17466,17466,24074.11,23833.67,1,7325,6227,0,0.01,0.02,1.42,17.68,1.36,2.33
exocet.bmrb.wisc.edu,2834,4706,17214.56,12193.22,1,2198,2115,0,0.26,3.76,6.63,19.49,4.3,4.07
sub-simprod-2.icecube.wisc.edu,52639,52885,25584.78,22508.41,64,244141,234061,0,0.1,0.2,0.39,1558.7,0.43,8.99
cmsgrid01.hep.wisc.edu,1909,1909,36298.01,36297.7,8,17090,15420,0.02,2.68,2.68,2.68,480.41,19.01,85.97
osggrid01.hep.wisc.edu,4732,4734,20869.81,20869.78,8,12208,10801,0.17,0.99,1.37,2.41,183.98,4.41,15.51
osghost.chtc.wisc.edu,238,240,537.82,520.2,1,2198,2048,0,1.53,2.19,2.8,3.92,2.19,0.98
submit2.chtc.wisc.edu,13279,13327,29314.77,29110.86,16,146485,136608,0,0.16,0.79,1.2,286.25,2.19,4.95
lhcb-ce.chtc.wisc.edu,1061,1061,6877.48,6877.48,1,1954,1774,0.07,4.94,5.75,6.76,27.89,6.48,3.37
submit-1.chtc.wisc.edu,7819,7834,25045.6,24881.72,24,73243,60715,0,0.01,0.01,3.53,853.65,3.18,11.81
login05.hep.wisc.edu,9333,9874,18629.17,18303.47,1,440,417,0,0.36,0.63,4.09,12.85,1.96,2.5
login03.hep.wisc.edu,7076,7076,168.59,126.83,1,3418,3273,0,0.01,0.01,0.01,10.49,0.02,0.29
login06.hep.wisc.edu,82,82,590.43,517.03,1,7325,5551,0,0.1,8.04,9.94,13.67,6.31,4.65
keles-submit.chtc.wisc.edu,280,281,288.25,278.48,1,1221,1087,0,0.55,0.7,1.18,3.48,0.99,0.67
batlabsubmit0001.chtc.wisc.edu,960,960,558.44,216.18,1,3418,3194,0,0,0,0,5.65,0.23,0.6
login04.hep.wisc.edu,2556,2556,27.11,19.93,1,342,318,0,0.01,0.01,0.01,0.04,0.01,0.01
login01.hep.wisc.edu,296,296,30.45,10.8,1,7325,6217,0,0,0.02,0.03,2.9,0.04,0.23
wrightsubmit.chtc.wisc.edu,10004,10516,1599.78,1260.61,1,1181,1181,0.03,0.08,0.11,0.15,0.5,0.13,0.07
submittest0000.chtc.wisc.edu,8,8,8.01,8.01,1,1,0,1,1,1,1,1,1,0
townsend-submit.chtc.wisc.edu,671,671,164.45,164.45,1,733,512,0.09,0.19,0.23,0.26,0.67,0.25,0.09
mir-submit1.discovery.wisc.edu,5,5,0.25,0.25,1,32,31,0,0,0,0,0.25,0.05,0.11
wid-submit.discovery.wisc.edu,7,7,0.18,0.18,1,19532,17489,0,0,0,0,0.1,0.03,0.04
login01.physics.wisc.edu,32,36,455.91,455.65,1,2442,2318,7.46,13.24,14.13,15.03,18.03,14.24,1.91
htcondor.bitp.kiev.ua,1,1,0.04,0.04,22,0,0,0.04,0.04,0.04,0.04,0.04,0.04,0
