Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
submit2.chtc.wisc.edu,53424,62189,18396,512000,977,97657,20,3,30997,32892,00:00,00:55,01:05,01:45,237:24,02:54,06:40
cmsgrid01.hep.wisc.edu,43054,43054,349,20000,2686,17090,8,0,349,349,00:01,00:02,02:26,30:02,60:06,123:21,22:31
submit3.chtc.wisc.edu,38778,55875,24777,24416,98,12208,1,1166,36196,38133,00:00,00:07,00:09,01:11,265:24,01:33,09:44
login03.hep.wisc.edu,22784,24586,6467,3000,147,7325,1,59,6467,6398,00:00,00:08,00:27,04:34,53:15,03:31,06:07
submit-1.chtc.wisc.edu,14446,21289,2302,76800,977,52611,8,2,5174,6680,00:00,04:10,06:29,08:31,167:04,06:16,12:06
deepdivesubmit2000.chtc.wisc.edu,7043,7731,2294,14000,2442,9717,1,0,2304,3262,00:01,01:28,03:02,05:04,11:36,03:04,02:24
sub-1.icecube.wisc.edu,6606,13499,7977,10240,196,9766,1,5033,10723,10947,00:00,00:00,00:00,01:30,54:28,00:49,03:23
sub-simprod-2.icecube.wisc.edu,5495,10688,4499,3300,42,7325,2,2211,5047,5374,00:00,00:00,00:02,00:13,44:22,01:13,03:44
login06.hep.wisc.edu,5414,5430,420,3000,4883,7325,1,0,421,534,00:09,10:47,13:04,15:04,21:29,12:53,03:34
wrightsubmit.chtc.wisc.edu,3821,4256,40000,2000,1119,1222,1,0,44496,44541,00:02,00:04,00:05,00:06,01:30,00:05,00:05
login01.hep.wisc.edu,3257,5420,206,14000,4639,9766,1,0,436,442,11:56,21:44,26:44,29:54,41:49,15:48,05:46
roy-submit.discovery.wisc.edu,2788,9534,199,83008,24415,41504,1,50,1931,2268,00:00,00:00,37:33,50:14,459:13,14:00,69:17
exocet.bmrb.wisc.edu,2536,3548,477,3126,342,1954,1,14,797,835,00:00,04:49,07:11,09:41,36:16,05:19,04:00
osggrid01.hep.wisc.edu,2370,2371,469,15000,2,9766,8,0,469,492,00:20,00:20,00:21,00:26,23:02,05:03,07:29
lhcb-ce.chtc.wisc.edu,2334,2334,368,2000,1465,2198,1,0,368,369,02:58,04:47,05:27,06:14,31:00,06:20,04:07
htcondor.erc.wisc.edu,1060,1318,8,8192,2537,3586,4,0,14,15,38:45,42:38,50:19,54:05,106:11,132:26,24:36
roy-exec-1.discovery.wisc.edu,508,1591,5,51200,7325,7325,1,0,193,202,280:15,280:15,304:45,304:45,396:10,101:41,44:53
osghost.chtc.wisc.edu,467,475,238,2048,2198,2198,1,7,238,255,00:00,01:24,02:09,02:37,04:22,01:57,00:50
login05.hep.wisc.edu,16,16,1258,2500,74,733,1,971,1258,1249,00:00,00:00,00:00,00:00,00:07,00:00,00:00
townsend-submit.chtc.wisc.edu,1,1,1,1024,245,245,1,0,1,1,01:10,01:10,01:10,01:10,01:10,01:10,00:00
mir-submit1.discovery.wisc.edu,0,2,6,1,0,0,1,4,6,4,00:00,00:00,00:00,00:00,01:33,00:00,00:37
