Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
submit2.chtc.wisc.edu,77049,79926,27416,76800,977,47103,16,83,27784,27814,00:00,00:54,01:01,01:10,303:34,02:14,06:54
submit3.chtc.wisc.edu,57440,68456,32534,9766,98,7325,1,3282,54797,57526,00:00,00:07,00:09,02:19,333:10,02:06,08:11
submit-1.chtc.wisc.edu,46210,62916,11242,512000,977,122071,10,143,18737,22994,00:00,00:07,00:14,01:45,238:24,05:17,16:35
sub-1.icecube.wisc.edu,20776,22419,18419,10240,245,9766,1,137,19210,19322,00:00,00:01,00:13,01:41,23:26,01:13,01:55
login01.hep.wisc.edu,13787,16143,473,14000,12208,14649,1,132,838,837,00:00,00:00,45:18,50:39,106:20,34:07,22:08
cmsgrid01.hep.wisc.edu,13128,13128,185,20000,1,14649,8,0,185,185,00:01,00:01,00:02,00:02,60:02,08:53,19:53
login06.hep.wisc.edu,10204,10773,17903,3000,269,7325,1,9687,17907,18002,00:00,00:00,00:00,00:04,56:07,00:36,02:49
osggrid01.hep.wisc.edu,9041,9041,2113,15000,13,17090,8,0,2114,2196,00:15,00:21,00:21,00:25,23:06,03:45,07:22
login03.hep.wisc.edu,5071,10211,2331,3000,13,7325,1,49,7366,7944,00:00,00:56,01:02,03:28,123:13,04:22,09:04
lhcb-ce.chtc.wisc.edu,3533,3533,546,2000,1465,2198,1,0,546,547,00:56,04:50,05:32,06:24,24:48,06:28,03:46
roy-submit.discovery.wisc.edu,3450,10010,210,53712,26856,31739,1,0,1284,1654,13:53,32:16,37:54,45:16,394:34,47:40,56:27
sub-simprod-2.icecube.wisc.edu,3372,6483,1626,3850,1465,7325,2,98,1942,2129,00:00,00:03,00:09,01:36,46:40,02:03,04:56
login02.hep.wisc.edu,1890,2253,42167,2500,74,2686,1,17383,42168,41966,00:00,00:00,00:01,00:03,25:00,00:03,00:18
deepdivesubmit2000.chtc.wisc.edu,896,1124,530,14000,2442,10033,1,3,533,769,00:00,00:03,01:31,03:28,07:41,02:07,02:15
osghost.chtc.wisc.edu,527,546,268,2048,2198,2198,1,14,270,419,00:00,01:02,02:16,02:44,05:06,02:02,01:08
exocet.bmrb.wisc.edu,506,1049,492,3516,464,2442,1,0,925,932,00:21,01:06,01:55,02:21,91:36,02:07,05:21
osg-sw-submit.chtc.wisc.edu,219,286,1593,2048,42,2198,1,474,1593,1606,00:00,00:00,00:05,00:13,02:16,00:10,00:15
roy-exec-1.discovery.wisc.edu,196,1458,2,219727,146485,146485,1,0,291,364,673:26,673:26,729:10,673:26,784:55,729:10,78:49
login04.hep.wisc.edu,143,155,7026,1000,0,391,1,6617,7026,7028,00:00,00:00,00:00,00:00,01:21,00:01,00:08
login05.hep.wisc.edu,13,44,111,3000,27,733,1,0,111,56,00:04,00:05,00:08,00:30,07:31,00:24,00:56
townsend-submit.chtc.wisc.edu,2,15,4,8192,5616,9766,1,0,4,2,00:15,00:15,01:38,02:10,11:35,03:46,05:16
mir-submit1.discovery.wisc.edu,0,1,5,1,0,1,1,1,5,3,00:00,00:00,00:01,00:01,00:33,00:14,00:17
