Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
submit3.chtc.wisc.edu,94715,118905,31195,10987,3174,7325,1,22,43662,44548,00:00,00:45,01:41,03:22,205:57,03:48,09:59
submit2.chtc.wisc.edu,88943,115236,2821,256000,733,73243,16,295,2858,2861,00:00,00:56,09:01,14:31,113:47,10:41,14:16
sub-1.icecube.wisc.edu,20184,51689,44532,6144,977,7325,1,5967,49798,55451,00:00,00:06,00:17,00:41,27:27,01:09,02:22
submit-1.chtc.wisc.edu,18365,20404,7371,195314,977,146485,20,1081,8233,9499,00:00,00:09,00:16,00:46,119:10,01:21,05:12
keles-submit.chtc.wisc.edu,17529,17544,8224,4096,2930,4151,1,3,8224,8223,00:00,00:18,01:52,03:19,15:39,02:07,01:52
wrightsubmit.chtc.wisc.edu,8287,8561,51603,2048,1317,1377,1,0,80243,80474,00:04,00:08,00:09,00:11,01:02,00:09,00:02
sub-simprod-2.icecube.wisc.edu,6667,7790,13945,3850,2686,12208,2,439,14227,14349,00:00,00:08,00:21,00:30,26:26,00:28,01:00
cmsgrid01.hep.wisc.edu,6443,6443,100,20000,1,21973,8,0,100,100,00:03,00:06,00:09,00:10,60:09,08:09,20:00
exocet.bmrb.wisc.edu,4203,5541,1508,3126,318,2198,1,11,2054,2113,00:00,02:24,02:58,04:26,15:22,03:40,02:00
osggrid01.hep.wisc.edu,1674,1674,1234,15000,74,17090,8,9,1234,1235,00:00,00:20,00:21,00:23,18:59,00:30,01:22
lhcb-ce.chtc.wisc.edu,1355,1355,188,2000,2198,2198,1,0,188,188,03:15,04:50,05:40,06:55,37:28,07:12,05:43
roy-submit.discovery.wisc.edu,779,1449,26,130000,13429,122071,1,0,86,92,26:15,28:49,35:45,39:01,215:52,55:43,52:18
htcondor.erc.wisc.edu,460,460,31,4096,2324,3519,1,0,31,31,08:20,09:40,11:30,16:20,30:43,14:50,07:33
login01.physics.wisc.edu,444,601,13,12288,7325,9766,1,0,19,23,00:02,00:02,41:50,46:41,116:40,46:11,43:17
deepdivesubmit2000.chtc.wisc.edu,196,285,159,4029,2686,2686,1,0,159,193,00:04,01:23,01:43,02:02,04:17,01:47,00:43
townsend-submit.chtc.wisc.edu,174,208,16,32768,34180,34180,1,0,16,13,02:24,08:26,09:37,19:40,21:50,12:59,06:54
wid-submit.discovery.wisc.edu,167,167,14,4000,977,3174,4,0,14,14,00:07,00:08,00:18,00:49,20:40,02:58,06:32
osg-sw-submit.chtc.wisc.edu,96,129,978,2048,74,2198,1,275,978,979,00:00,00:00,00:02,00:08,02:13,00:07,00:12
login02.hep.wisc.edu,47,60,1,14000,14649,14649,1,0,4,4,60:26,60:26,60:26,60:26,60:26,60:26,00:00
batlabsubmit0001.chtc.wisc.edu,13,42,103,9829,0,9766,1,67,103,79,00:00,00:00,00:00,01:00,02:22,00:24,00:40
mir-submit1.discovery.wisc.edu,2,3,80,1,0,0,1,24,80,78,00:00,00:00,00:01,00:01,00:48,00:02,00:07
