Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
submit3.chtc.wisc.edu,86558,114406,25458,65536,2686,24415,1,3234,43578,73659,00:00,00:07,02:06,04:04,335:35,04:29,10:55
submit2.chtc.wisc.edu,80170,82880,34232,16384,20,12208,12,4844,34279,34883,00:00,00:03,00:05,00:08,459:37,01:07,06:13
submit-1.chtc.wisc.edu,42081,42638,6064,512000,147,49739,16,72,6198,7272,00:00,00:41,03:06,14:15,94:07,06:48,09:13
sub-1.icecube.wisc.edu,36325,38809,13599,6144,2686,7325,1,55,14918,15209,00:00,00:58,02:23,04:17,14:35,02:51,02:07
cmsgrid01.hep.wisc.edu,22730,22730,254,20000,1,14649,8,0,254,254,00:01,00:02,00:02,09:23,60:07,11:12,20:30
sub-simprod-2.icecube.wisc.edu,10761,14363,20543,3300,1465,7325,2,2501,21042,21562,00:00,00:06,00:14,00:28,41:41,00:31,01:46
login03.hep.wisc.edu,10152,10188,2511,3000,147,7325,1,1352,2519,2586,00:00,00:00,00:00,09:30,23:42,04:03,06:30
lhcb-ce.chtc.wisc.edu,8250,8254,1027,2000,1465,2198,1,1,1028,1032,00:00,04:37,05:37,08:16,26:17,08:02,05:14
login05.hep.wisc.edu,3057,3235,7857,9000,1,3663,1,5207,8039,8012,00:00,00:00,00:00,00:03,73:58,00:24,01:46
login06.hep.wisc.edu,2740,2741,5317,8000,367,3418,1,3411,5320,5313,00:00,00:00,00:00,00:01,09:21,00:30,01:34
wrightsubmit.chtc.wisc.edu,2092,2111,34135,1000,98,369,1,5,34803,34994,00:00,00:02,00:03,00:04,00:26,00:03,00:01
roy-submit.discovery.wisc.edu,584,2253,68,130000,26856,122071,1,0,375,481,00:04,00:49,28:57,40:07,148:47,33:07,31:29
login01.physics.wisc.edu,409,411,28,8192,2930,9766,1,0,42,86,08:15,12:54,16:13,16:59,18:03,14:40,03:18
deepdivesubmit2000.chtc.wisc.edu,220,336,148,4029,2442,2686,1,0,148,199,00:05,00:57,01:36,02:51,07:37,02:16,01:54
osggrid01.hep.wisc.edu,94,94,191,15000,10,1709,8,0,191,208,00:20,00:20,00:21,00:23,01:47,00:24,00:12
osg-sw-submit.chtc.wisc.edu,78,114,991,2048,74,2198,1,268,991,997,00:00,00:00,00:02,00:07,01:58,00:06,00:10
exocet.bmrb.wisc.edu,68,261,4,1563,562,977,1,0,8,8,51:12,51:12,64:16,74:08,81:13,65:15,14:42
osghost.chtc.wisc.edu,10,13,121,2048,15,2198,1,77,121,119,00:00,00:00,00:00,00:01,01:15,00:06,00:14
townsend-submit.chtc.wisc.edu,4,6,15,10240,10,12208,1,2,15,12,00:00,00:01,00:11,00:30,01:26,00:23,00:27
learn.chtc.wisc.edu,1,1,4,8192,7325,9766,1,0,4,4,00:02,00:02,00:03,00:03,00:27,00:09,00:12
mir-submit1.discovery.wisc.edu,0,1,6,5000,0,10,1,0,6,4,00:02,00:02,00:02,00:03,00:12,00:05,00:04
