scheedName,Jobs,NumJobStarts,CoreHr,CommittedCoreHr,RequestCpus,MemoryUsage,MemoryMB,Min,25%,Median,75%,Max,Mean,Std
sub-1.icecube.wisc.edu,56447,63028,165137.57,134604.06,1,12208,9987,0,0.01,0.01,2.25,36.92,2.38,4.79
login03.hep.wisc.edu,4101,4101,152.02,113.61,1,977,744,0,0.01,0.01,0.02,1.14,0.03,0.07
login06.hep.wisc.edu,5320,5320,29648.24,28098.73,1,293,272,0,0.63,1.39,10.58,22.78,5.28,5.83
submit2.chtc.wisc.edu,105826,106588,82696.33,82167.71,16,17149,79245,0,0.05,0.14,0.54,125.63,0.78,1.91
login02.hep.wisc.edu,312,330,97.19,94.71,1,391,385,0,0.17,0.21,0.37,1.39,0.3,0.25
sub-simprod-2.icecube.wisc.edu,486,514,7770.23,5042.38,20,24415,23662,0,0.97,4.28,15.06,140.89,10.38,16.84
exocet.bmrb.wisc.edu,2958,3614,8106.38,6408.81,1,2198,2177,0,0.17,2.05,3.03,25.68,2.17,2.05
submit-1.chtc.wisc.edu,46899,48825,35024.77,32905.28,16,73243,53458,0,0.17,0.18,0.22,226.36,0.7,2.24
cmsgrid01.hep.wisc.edu,2023,2023,7312.4,7312.09,8,12208,9902,0.02,2.68,2.68,2.71,241.1,3.61,13.66
login01.hep.wisc.edu,6959,6959,420.31,372.57,1,391,367,0,0.01,0.01,0.02,1.97,0.05,0.18
osggrid01.hep.wisc.edu,8736,8736,32809.59,32809.43,8,12208,10513,0.17,0.37,0.48,1.13,182.89,3.76,15.81
login04.hep.wisc.edu,5183,5183,5945.17,5945.01,1,1465,1301,0,0.52,0.97,1.56,6.16,1.15,0.82
osghost.chtc.wisc.edu,316,321,596.93,555.76,1,2198,2048,0,0.77,1.77,2.73,3.99,1.76,1.2
lhcb-ce.chtc.wisc.edu,530,530,6606.82,6606.82,1,1954,1744,0.05,5.8,15.36,17.97,26.67,12.47,6.25
login05.hep.wisc.edu,3972,3972,4697.67,4697.52,1,733,626,0.01,0.47,1.02,1.69,7.51,1.18,0.88
submit3.chtc.wisc.edu,3482,4132,13820.58,13274.64,2,29297,28768,0,3.12,3.84,4.87,18.15,3.81,1.91
htcondor.erc.wisc.edu,2,2,89.28,89.28,8,5259,7935,0.02,0.02,44.64,0.02,89.26,44.64,63.11
keles-submit.chtc.wisc.edu,4845,4845,2009.51,1996.19,1,1221,1136,0,0.18,0.27,0.47,3.16,0.41,0.42
mir-submit1.discovery.wisc.edu,3,3,0.15,0,1,0,0,0,0,0,0,0,0,0
roy-submit.discovery.wisc.edu,10,10,2.27,2.27,1,4395,4224,0.06,0.07,0.15,0.15,0.63,0.23,0.21
submittest0000.chtc.wisc.edu,10,41,108.22,24.04,16,2,2,0.02,1,1,1,16.01,2.4,4.79
login01.physics.wisc.edu,1,1,10.96,10.95,1,1954,1836,10.95,10.95,10.95,10.95,10.95,10.95,0
