Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Request Gpus,Min,25%,Median,75%,Max,Mean,Std
sub-simprod-2.icecube.wisc.edu,4528,6693,1817,3300,0,7325,2,1259,2043,2105,1,00:00,00:00,00:00,02:07,48:20,01:50,04:15
submit2.chtc.wisc.edu,34,34,3,15360,3617,4547,8,0,3,3,1,00:01,00:01,00:10,00:10,04:06,01:26,02:18
