Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
submit2.chtc.wisc.edu,53998,57080,26070,51200,977,7325,20,1044,26461,26673,00:00,00:57,01:08,01:20,71:16,02:04,05:41
submit3.chtc.wisc.edu,38536,45986,15065,65536,74,36622,2,39,16096,17408,00:00,00:07,00:09,00:35,196:35,02:33,09:17
submit-1.chtc.wisc.edu,14191,21573,3496,122880,293,97657,16,407,4236,9134,00:00,00:09,01:10,10:55,116:22,04:03,10:10
roy-submit.discovery.wisc.edu,9947,41726,6244,53712,1954,31739,1,0,342699,350870,00:39,04:09,05:34,06:54,331:46,01:35,12:52
login06.hep.wisc.edu,9583,10313,3584,3000,123,7325,1,0,3587,3549,00:05,00:18,01:12,01:38,28:27,02:40,04:05
login03.hep.wisc.edu,8915,9642,635,2500,171,220,1,0,685,657,07:07,10:22,13:41,19:07,27:49,14:02,05:37
login05.hep.wisc.edu,8845,9606,2343,5000,123,977,1,5,2343,2302,00:00,00:16,01:44,08:36,27:27,03:46,04:41
cmsgrid01.hep.wisc.edu,8453,8453,219,20000,1,14649,8,0,219,219,00:01,00:01,00:02,00:37,60:01,38:35,15:16
osggrid01.hep.wisc.edu,6700,6700,2423,15000,2,17090,8,0,2423,2455,00:16,00:21,00:21,00:22,23:01,02:45,05:27
lhcb-ce.chtc.wisc.edu,6141,6149,724,2000,1465,2198,1,0,725,731,02:49,04:55,05:57,07:32,32:18,08:28,05:52
htcondor.erc.wisc.edu,5376,5425,163,4096,2295,3478,1,0,169,169,24:51,28:36,32:26,37:30,61:06,32:58,05:49
login01.hep.wisc.edu,3443,3522,176,14000,4395,7325,1,0,188,187,00:12,16:02,21:45,24:08,51:50,19:33,06:23
sub-simprod-2.icecube.wisc.edu,1862,2989,1091,3300,1465,4151,2,14,1257,1345,00:00,00:07,00:21,01:16,23:43,01:42,03:15
sub-1.icecube.wisc.edu,1218,1715,597,10240,733,12208,1,13,629,638,00:00,01:51,02:03,02:16,64:14,02:02,05:15
exocet.bmrb.wisc.edu,716,947,125,2198,367,2198,1,0,195,207,01:04,04:38,07:21,09:51,14:22,05:43,03:09
osghost.chtc.wisc.edu,568,636,238,2048,2198,2198,1,7,251,324,00:00,01:51,02:39,03:19,07:35,02:23,01:12
roy-exec-1.discovery.wisc.edu,283,1014,4,51200,7325,7325,1,0,243,259,202:11,202:11,250:41,268:23,310:14,70:40,46:31
login01.physics.wisc.edu,88,88,2,4096,3174,3174,1,0,2,2,38:38,38:38,43:48,38:38,48:58,43:47,07:18
wid-submit.discovery.wisc.edu,9,10,1,12288,7325,7325,1,0,4,4,10:22,10:22,10:22,10:22,10:22,09:16,00:00
login04.hep.wisc.edu,1,3,387,2500,1,220,1,386,1123,1123,00:00,00:00,00:00,00:00,00:14,00:00,00:00
submittest0000.chtc.wisc.edu,0,0,10,64,1,147,1,10,10,10,00:00,00:00,00:00,00:00,00:00,00:00,00:00
