Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,ShortJobStarts,All Starts,Min,25%,Median,75%,Max,Mean,Std
submit2.chtc.wisc.edu,63105.99,63136.16,9769,63100,977,52643,20,2389,9773,0,0.03,1.98,9.73,703.51,6.46,16.17
roy-submit.discovery.wisc.edu,6228.82,29515.5,3032,119549,171,122071,1,244,5803,0,0.38,0.47,0.75,220.45,2.05,7.78
login05.hep.wisc.edu,9347.62,10130.01,3526,2927,1465,2930,1,98,3601,0,0.38,1.81,3.9,34.05,2.65,2.8
osggrid01.hep.wisc.edu,12595.24,12595.35,2442,12611,15,14649,8,0,2442,0.24,0.69,0.71,0.75,177.4,5.16,17.36
login03.hep.wisc.edu,5254.5,5357.44,961,7390,2198,9766,1,0,961,0,0.87,3.9,8.66,27.4,5.47,5.2
sub-simprod-2.icecube.wisc.edu,6675.01,9363.76,21103,80356,1465,97657,2,1042,21610,0,0.08,0.21,0.34,96.67,0.32,1.92
submit3.chtc.wisc.edu,31253.11,33525.73,15008,6242,74,7325,1,1,15589,0,0.12,0.15,1.67,49.08,2.08,4.25
exocet.bmrb.wisc.edu,4454.56,5262.27,1695,2068,318,2198,1,0,1982,0.02,0.08,2.01,3.85,14.15,2.63,3.3
submit-1.chtc.wisc.edu,26638.24,27508.94,35650,113288,0,122071,20,17324,36603,0,0.01,0.03,0.19,1043.24,0.75,8.47
sub-1.icecube.wisc.edu,75542.17,86640.75,70766,8213,7325,9766,1,3894,75777,0,0.13,0.42,2.37,22.27,1.07,1.23
lhcb-ce.chtc.wisc.edu,5645.88,5645.88,834,1616,1465,1709,1,0,834,0.05,4.53,5.51,6.54,42.31,6.77,5.89
cmsgrid01.hep.wisc.edu,60087.97,60088.01,307,15795,1,17090,8,0,307,0.02,0.04,2.68,470.33,480.55,195.73,229.31
login01.hep.wisc.edu,4195.83,4773.69,361,8993,4151,9766,1,0,437,0,9.27,11.21,13.48,28.68,11.62,4.5
login01.physics.wisc.edu,973.28,1427.57,42,2909,2930,2930,1,0,371,12.69,17.4,18.78,32.26,41.83,23.17,7.84
htcondor.erc.wisc.edu,2957.09,2957.09,15,8441,6583,8440,8,0,15,85.68,100.2,168.58,196.26,510.13,197.14,115.17
keles-submit.chtc.wisc.edu,2538.96,2563.93,8450,1096,733,1221,1,1,8450,0,0.13,0.17,0.3,3.67,0.3,0.37
login02.hep.wisc.edu,270.29,279.33,451,1301,245,1465,1,3,649,0.01,0.16,0.57,0.86,3.39,0.6,0.54
login06.hep.wisc.edu,1553.93,2534.3,153,2843,123,2930,1,0,153,0,7.33,10.85,14,31.54,10.16,5.9
login04.hep.wisc.edu,1921.76,1922.69,2504,1936,245,1954,1,3,2506,0.01,0.54,0.65,0.85,4.32,0.77,0.4
roy-exec-1.discovery.wisc.edu,81.11,7824.33,62,135941,146485,146485,1,13,624,0.01,0.02,0.03,0.08,29.47,1.31,5.6
osghost.chtc.wisc.edu,515.47,554.01,270,2048,2198,2198,1,18,278,0,0.77,2.05,2.82,3.99,1.91,1.2
townsend-submit.chtc.wisc.edu,440.46,440.46,1160,198,196,220,1,0,1160,0.05,0.26,0.33,0.42,1.1,0.38,0.18
submittest0000.chtc.wisc.edu,14.01,20.52,14,0,1,1,1,0,38,1,1,1,1,1,1,0
oconnorsubmit3000.chtc.wisc.edu,1.07,1.07,1,103,103,103,4,0,1,1.07,1.07,1.07,1.07,1.07,1.07,0
