Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
submit2.chtc.wisc.edu,73449,84326,21292,76800,977,47271,16,121,39387,40848,00:00,00:58,01:14,02:57,80:24,03:26,08:11
submit3.chtc.wisc.edu,37816,50531,22798,24416,98,12208,1,1212,37565,40836,00:00,00:07,00:09,02:12,313:43,01:39,11:13
submit-1.chtc.wisc.edu,36887,60676,29639,512000,977,45904,16,502,33134,36207,00:00,00:06,00:08,00:22,214:20,01:14,10:34
cmsgrid01.hep.wisc.edu,16090,16090,226,20000,1,14649,8,0,226,226,00:01,00:01,00:02,03:36,60:08,71:11,19:02
login02.hep.wisc.edu,11281,11804,17292,2500,18,977,1,1057,17293,17240,00:00,00:02,00:05,00:17,17:14,00:39,01:30
login06.hep.wisc.edu,8985,10001,6963,5000,147,7325,1,541,6969,6930,00:00,00:03,00:13,01:56,31:05,01:17,02:48
sub-1.icecube.wisc.edu,8448,10544,10653,10240,196,12208,1,4451,11114,11339,00:00,00:00,00:01,01:17,26:51,00:47,02:20
login03.hep.wisc.edu,4781,6832,359,3000,3418,7325,1,6,777,1248,00:00,14:36,17:41,22:30,49:31,13:19,08:09
sub-simprod-2.icecube.wisc.edu,4293,7112,979,3300,1465,7325,2,39,1299,1336,00:00,00:08,00:26,05:54,57:59,04:23,05:46
roy-submit.discovery.wisc.edu,3392,10149,193,114688,24415,122071,1,0,1337,1706,01:11,31:56,37:13,43:55,429:24,17:34,72:05
login01.hep.wisc.edu,3266,4039,175,14000,7325,14649,1,11,301,301,00:00,00:40,25:59,36:26,53:49,18:39,17:17
osggrid01.hep.wisc.edu,1753,1753,1217,15000,13,4883,8,0,1217,1259,00:20,00:21,00:21,00:24,23:04,01:26,03:12
lhcb-ce.chtc.wisc.edu,1553,1553,215,2000,1465,2198,1,0,215,215,04:07,05:32,06:09,06:53,31:44,07:13,04:01
deepdivesubmit2000.chtc.wisc.edu,1098,1350,407,4029,2442,2686,1,0,408,568,00:02,01:54,03:04,04:26,08:49,02:41,01:57
osghost.chtc.wisc.edu,506,526,238,2048,2198,2198,1,7,242,356,00:00,01:29,02:17,02:44,04:50,02:07,00:55
login05.hep.wisc.edu,458,3716,2343,4500,245,2442,1,556,2347,1715,00:00,00:01,00:22,00:54,14:30,00:11,03:54
osg-sw-submit.chtc.wisc.edu,211,255,714,2048,2198,2198,1,25,715,709,00:00,00:06,00:16,00:29,06:15,00:17,00:26
roy-exec-1.discovery.wisc.edu,202,1039,3,51200,7325,7325,1,0,201,213,322:02,322:02,326:01,326:01,391:03,67:10,38:44
exocet.bmrb.wisc.edu,87,255,11,3126,733,1954,1,0,60,60,15:48,16:01,20:51,27:52,35:45,07:52,06:35
townsend-submit.chtc.wisc.edu,21,36,8,6144,2198,2686,1,0,8,5,02:47,02:55,04:26,05:39,06:19,02:35,01:34
login04.hep.wisc.edu,11,16,2996,1000,0,391,1,2993,2996,2996,00:00,00:00,00:00,00:00,01:20,00:00,00:02
wid-submit.discovery.wisc.edu,4,14,2,32768,3700,7325,1,1,15,15,00:02,00:02,07:08,00:02,14:14,01:51,10:02
learn.chtc.wisc.edu,1,1,14,16384,7325,9766,1,0,14,14,00:01,00:02,00:03,00:04,00:36,00:06,00:09
sub-simprod.icecube.wisc.edu,0,0,4,1024,1,2,1,2,4,4,00:00,00:00,00:02,00:05,00:05,00:02,00:02
mir-submit1.discovery.wisc.edu,0,1,5,1,0,0,1,3,5,3,00:00,00:00,00:00,00:00,00:28,00:00,00:15
submittest0000.chtc.wisc.edu,0,0,1,64,15,15,1,1,1,1,00:00,00:00,00:00,00:00,00:00,00:00,00:00
htcondor.erc.wisc.edu,0,0,1,32768,18,18,16,1,1,1,00:00,00:00,00:00,00:00,00:00,00:01,00:00
