Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,ShortJobStarts,All Starts,Min,25%,Median,75%,Max,Mean,Std
exocet.bmrb.wisc.edu,14749.3,20130.17,2706,2181,416,2198,1,0,5236,0,3.12,5.58,7.57,16.92,5.45,3.72
submit-1.chtc.wisc.edu,25880.75,26425,51320,23768,0,20830,16,37615,53420,0,0,0.01,0.34,116.09,0.5,1.46
submit2.chtc.wisc.edu,58611.47,58626.97,9354,109998,1445,109994,20,3166,9370,0,0.01,0.43,2.23,1437.67,6.27,24.96
lhcb-ce.chtc.wisc.edu,5867.48,5867.48,900,1984,1465,2198,1,0,900,2.82,4.68,5.65,6.52,26.52,6.52,3.64
osggrid01.hep.wisc.edu,6692.24,6692.27,1830,15094,2,17090,8,0,1831,0.18,0.35,0.36,0.57,183.76,3.66,10
cmsgrid01.hep.wisc.edu,14691.22,14691.23,189,12502,1,14649,8,0,189,0.02,0.03,0.04,0.06,480.73,77.73,169.85
login03.hep.wisc.edu,5496.26,6057.94,92207,6993,10,7325,1,69252,92208,0,0.01,0.01,0.01,28.27,0.06,0.97
submit3.chtc.wisc.edu,44975.11,47501,17272,2229,74,2442,1,0,17796,0.03,0.12,0.16,1.88,48.65,2.6,5.83
login01.physics.wisc.edu,343.8,343.94,10,2874,2930,2930,1,0,10,30.84,31.79,34.3,35.1,39.29,34.38,2.31
login04.hep.wisc.edu,190.66,1203.67,11910,3955,8,4151,1,11737,11910,0,0.01,0.01,0.01,12.66,0.02,0.28
sub-1.icecube.wisc.edu,175901.05,202699.64,150838,8019,2442,9766,1,1953,158130,0,0.05,0.3,2.43,28.82,1.17,1.68
osghost.chtc.wisc.edu,507.98,517.32,238,2048,2198,2198,1,7,238,0,1.5,2.33,2.82,3.87,2.13,0.88
sub-simprod-2.icecube.wisc.edu,7349.45,11627.32,20841,47726,1465,48829,2,3336,21601,0,0.07,0.14,0.34,143.04,0.35,1.88
login01.hep.wisc.edu,7428.36,14429.6,2832,8667,220,9766,1,1664,4381,0,0,0.01,0.19,29.51,2.62,7.09
keles-submit.chtc.wisc.edu,20015.17,20027.81,8825,3874,2442,3907,1,0,8825,0,0.31,1.94,3.49,16.54,2.27,2.02
login06.hep.wisc.edu,6384.44,7047.93,5032,6072,13,7325,1,3527,5032,0,0.01,0.01,0.35,21.02,1.27,3.56
login05.hep.wisc.edu,16035.35,16800.06,41467,5082,18,7325,1,34335,41468,0,0.01,0.01,0.01,21.79,0.39,1.68
roy-submit.discovery.wisc.edu,8297.91,10900.8,5924,28333,293,29297,1,0,26725,0.07,0.36,1.18,1.93,21.78,1.4,1.92
townsend-submit.chtc.wisc.edu,49.65,49.65,165,191,196,196,1,0,165,0.1,0.23,0.27,0.35,0.62,0.3,0.11
oconnorsubmit3000.chtc.wisc.edu,12.1,12.1,9,13992,3693,12623,4,0,9,0.39,0.39,0.88,1.26,5.13,1.34,1.47
submittest0000.chtc.wisc.edu,151.23,181.15,152,2,1,2,1,0,227,0.03,1,1,1,1,0.99,0.08
wid-submit.discovery.wisc.edu,0.7,0.7,3,87644,0,97657,1,2,3,0,0,0,0,0.7,0.23,0.4
htcondor.erc.wisc.edu,46.79,46.79,2,7497,7496,7496,8,0,2,17.48,17.48,23.4,17.48,29.31,23.4,8.36
roy-exec-1.discovery.wisc.edu,16.81,348.81,2,6675,7325,7325,1,0,45,6.41,6.41,8.4,6.41,10.4,8.4,2.82
