Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
submit2.chtc.wisc.edu,63893,66211,94656,51200,4,73243,20,10124,95389,95727,00:00,00:02,00:05,00:13,75:50,00:18,01:29
submit3.chtc.wisc.edu,58014,69894,42231,6226,1221,4151,1,6,66585,68278,00:00,00:46,01:10,01:44,375:33,01:39,05:09
sub-1.icecube.wisc.edu,38893,59834,89903,12000,1221,7325,1,11741,95445,95777,00:00,00:06,00:15,00:30,48:35,00:39,02:39
submit-1.chtc.wisc.edu,8897,14800,3984,512000,977,195313,8,89,4550,4922,00:00,00:08,00:16,02:53,674:54,03:30,21:20
osggrid01.hep.wisc.edu,7088,7088,2239,15000,74,17090,8,9,2251,2257,00:00,00:20,00:21,00:24,19:12,00:58,02:36
cmsgrid01.hep.wisc.edu,2391,2391,168,20000,1,21973,8,0,168,168,00:01,00:02,00:06,00:14,15:27,01:49,03:43
htcondor.erc.wisc.edu,2005,2225,263,4096,2335,3469,1,0,358,366,01:09,06:25,08:13,10:03,20:36,08:27,03:17
lhcb-ce.chtc.wisc.edu,1652,1652,242,2000,1709,2198,1,0,242,245,01:14,04:37,05:40,06:48,21:03,06:49,04:10
roy-submit.discovery.wisc.edu,689,1271,27,130000,14649,122071,1,0,73,100,24:06,25:22,29:23,32:56,143:35,47:04,36:11
deepdivesubmit2000.chtc.wisc.edu,473,705,167,6226,2686,4151,1,1,171,163,00:00,02:19,03:43,05:47,33:37,04:13,03:16
login02.hep.wisc.edu,403,3617,277,14000,3174,12208,1,0,1062,1082,03:55,07:07,10:19,14:46,39:57,13:03,07:58
wid-submit.discovery.wisc.edu,281,302,16,4000,3296,3418,4,6,17,17,00:00,00:00,04:25,08:48,13:59,04:48,04:48
exocet.bmrb.wisc.edu,208,228,97,2734,318,2198,1,0,102,101,00:10,01:49,02:01,02:07,08:42,02:21,01:16
login03.hep.wisc.edu,159,4358,1662,3000,42,7325,1,1,6649,7178,00:00,00:21,00:21,03:37,23:38,02:37,03:58
osg-sw-submit.chtc.wisc.edu,128,194,1129,2048,74,2198,1,403,1129,1132,00:00,00:00,00:02,00:06,12:23,00:10,00:36
login01.physics.wisc.edu,63,116,7,8192,4395,9766,1,0,12,15,00:06,00:06,07:14,13:30,74:04,16:37,26:25
townsend-submit.chtc.wisc.edu,43,95,15,8192,5616,9766,1,2,19,14,00:00,00:01,02:03,12:34,17:00,06:18,07:18
keles-submit.chtc.wisc.edu,13,13,1,4096,1465,1465,1,0,1,1,13:28,13:28,13:28,13:28,13:28,13:28,00:00
mir-submit1.discovery.wisc.edu,4,4,45,1,0,1,1,2,45,45,00:00,00:01,00:02,00:09,00:36,00:05,00:07
