scheedName,Jobs,NumJobStarts,CoreHr,CommittedCoreHr,RequestCpus,MemoryUsage,MemoryMB,Min,25%,Median,75%,Max,Mean,Std
submit-1.chtc.wisc.edu,36520,37605,32378.77,31581.55,16,73243,53474,0,0.01,0.06,0.92,392.88,0.86,2.85
sub-1.icecube.wisc.edu,69925,72424,87672.08,73174.5,1,9766,9404,0,0.01,0.01,0.01,44.92,1.05,3.67
osggrid01.hep.wisc.edu,8532,8534,32317.12,32317.03,8,12208,10549,0.17,0.35,0.41,0.73,180.54,3.79,19.43
cmsgrid01.hep.wisc.edu,1154,1154,3803.2,3803.02,8,12208,9965,0.02,2.68,2.68,2.7,192.61,3.3,10.14
submit2.chtc.wisc.edu,98575,108572,76897.28,69539.8,16,24370,106366,0,0.03,0.11,0.44,53.73,0.71,1.88
exocet.bmrb.wisc.edu,2010,2348,6125.87,5289.71,1,2198,2069,0.02,0.09,2.78,3.29,18.21,2.63,3.39
login03.hep.wisc.edu,62580,62580,1064.49,1030.37,1,733,678,0,0,0.01,0.01,2.86,0.02,0.09
submit3.chtc.wisc.edu,632,1553,4653.3,2836.33,1,4883,4773,0.03,2.96,4.23,5.96,12.51,4.49,2.06
sub-simprod-2.icecube.wisc.edu,370,424,4856.58,3912.67,58,48829,47569,0,2.17,4.64,11.35,115.24,10.57,17.07
login06.hep.wisc.edu,4263,4263,17849.03,16547.02,1,3174,3035,0,0.42,1.43,7.65,19.42,3.88,3.95
lhcb-ce.chtc.wisc.edu,769,769,5149.64,5149.64,1,1954,1777,0.07,5.23,5.92,6.6,26.19,6.7,3.56
login05.hep.wisc.edu,663,663,1044.86,1044.03,1,342,336,0,0.01,0.07,3.04,11.48,1.57,2.52
login01.hep.wisc.edu,11968,11968,4125.93,4115.28,1,318,309,0,0,0.01,0.47,3.79,0.34,0.57
submittest0000.chtc.wisc.edu,93,113,112.47,93.07,1,1,0,1,1,1,1,1,1,0
login02.hep.wisc.edu,7998,8004,4463.66,4460.46,1,733,596,0,0.01,0.39,0.93,4.88,0.56,0.67
osghost.chtc.wisc.edu,254,258,554.92,501.95,1,2198,2048,0,1.2,2.21,2.68,3.87,1.98,1.03
login04.hep.wisc.edu,1640,1640,121.77,120.44,1,342,324,0,0.01,0.02,0.06,4.59,0.07,0.3
roy-submit.discovery.wisc.edu,3,3,21.46,21.46,1,7325,6265,6.35,6.35,7.44,7.44,7.67,7.15,0.7
