Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
submit2.chtc.wisc.edu,124916,126134,9775,30720,1111,21973,12,139,9783,9814,00:00,00:20,00:41,19:04,302:37,08:54,12:46
submit3.chtc.wisc.edu,111086,138891,29375,14650,464,7325,1,984,46932,66349,00:00,00:06,00:46,03:49,459:18,04:43,13:42
submit-1.chtc.wisc.edu,25211,28157,2281,131072,198,97657,16,12,2494,2646,00:00,00:13,00:34,09:00,187:10,08:24,16:52
cmsgrid01.hep.wisc.edu,20147,20147,267,20000,1,17090,8,0,267,267,00:01,00:01,00:02,06:43,60:07,09:26,19:00
lhcb-ce.chtc.wisc.edu,8476,8481,1185,2000,1465,2198,1,14,1186,1189,00:00,05:01,05:52,07:06,28:31,07:09,04:11
sub-simprod-2.icecube.wisc.edu,8315,13186,21914,3300,1465,4883,2,1715,22552,22887,00:00,00:05,00:14,00:26,40:18,00:27,01:39
login05.hep.wisc.edu,3760,4243,1121,5000,27,3907,1,422,1121,1107,00:00,00:00,00:12,00:58,53:36,03:47,08:48
roy-submit.discovery.wisc.edu,604,2553,29,83008,41504,41504,1,2,394,428,13:28,17:36,72:07,79:58,494:33,88:02,113:46
osggrid01.hep.wisc.edu,488,488,878,15000,2,2442,8,0,878,886,00:20,00:20,00:20,00:21,13:39,00:23,00:40
exocet.bmrb.wisc.edu,427,973,70,3516,733,2198,1,0,209,219,03:34,04:49,07:10,19:08,82:31,13:53,14:51
deepdivesubmit2000.chtc.wisc.edu,245,387,158,4029,2442,2686,1,0,158,244,00:06,01:08,01:58,03:08,07:34,02:26,01:46
htcondor.erc.wisc.edu,206,206,2,8192,3903,3908,4,0,2,2,25:02,25:02,25:44,25:02,26:26,25:44,00:59
login03.hep.wisc.edu,186,326,4953,3072,2,4395,1,3609,4962,4932,00:00,00:00,00:00,00:01,58:45,00:03,01:18
login06.hep.wisc.edu,100,159,4684,3000,269,391,1,4456,4684,4636,00:00,00:00,00:00,00:00,18:54,00:02,00:34
osg-sw-submit.chtc.wisc.edu,80,118,921,2048,49,2198,1,241,921,962,00:00,00:00,00:05,00:07,01:40,00:07,00:10
mir-submit1.discovery.wisc.edu,40,40,33,4096,1222,1266,1,4,33,33,00:00,00:38,01:02,01:50,02:30,01:12,00:43
sub-1.icecube.wisc.edu,23,28,50,8192,4883,9766,1,3,56,54,00:00,00:28,00:31,00:35,01:39,00:33,00:19
login01.physics.wisc.edu,4,4,19,8192,367,4395,1,0,19,19,00:07,00:11,00:12,00:15,00:26,00:13,00:03
