Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
submit2.chtc.wisc.edu,89131,101223,12266,512000,29297,73243,16,1682,12405,12527,00:00,00:21,00:31,01:38,122:52,03:24,08:32
submit3.chtc.wisc.edu,38896,56987,8050,65536,123,24415,4,0,10414,10649,00:01,00:08,01:08,04:16,628:33,07:03,20:39
sub-1.icecube.wisc.edu,31425,32502,8411,6144,269,7325,1,0,9046,9815,00:09,01:58,03:36,05:21,15:17,03:51,02:23
submit-1.chtc.wisc.edu,23860,24880,11914,195314,269,97657,20,61,12272,12536,00:00,00:21,00:34,00:42,84:35,02:03,05:50
keles-submit.chtc.wisc.edu,18987,19016,8263,4096,2930,4151,1,0,8268,8268,00:03,00:19,02:05,03:31,16:34,02:18,01:56
osggrid01.hep.wisc.edu,16709,16709,5995,15000,74,17090,8,19,5995,6031,00:00,00:20,00:21,00:35,23:04,02:38,05:39
wrightsubmit.chtc.wisc.edu,11570,11791,82801,2048,1251,1301,1,0,100319,102659,00:03,00:05,00:07,00:09,01:34,00:08,00:03
sub-simprod-2.icecube.wisc.edu,8151,9924,20557,3300,1465,4395,2,311,21333,21407,00:00,00:08,00:15,00:30,62:27,00:26,01:08
lhcb-ce.chtc.wisc.edu,4470,4470,607,2000,2198,2198,1,0,607,611,00:08,05:17,05:56,07:00,27:33,07:21,04:11
exocet.bmrb.wisc.edu,3361,5283,607,3516,440,2198,1,0,1280,1301,00:12,05:22,08:25,11:24,39:27,08:42,04:03
roy-submit.discovery.wisc.edu,298,311,16,29298,7325,19532,1,0,17,17,09:02,17:55,20:25,22:10,23:54,19:26,04:18
htcondor.erc.wisc.edu,193,193,7,4096,3514,3519,1,0,7,7,17:42,17:42,29:46,30:14,32:32,27:32,05:32
deepdivesubmit2000.chtc.wisc.edu,151,223,181,15000,2686,3587,1,22,181,188,00:00,00:38,01:11,01:43,03:46,01:13,00:49
osg-sw-submit.chtc.wisc.edu,88,122,921,2048,74,2198,1,242,921,924,00:00,00:00,00:02,00:07,02:42,00:07,00:13
login01.physics.wisc.edu,70,70,2,12288,9766,9766,1,0,2,2,34:30,34:30,35:12,34:30,35:54,35:12,00:59
cmsgrid01.hep.wisc.edu,57,57,151,20000,1,3418,8,0,151,151,00:01,00:01,00:02,00:02,05:35,00:04,00:27
wid-submit.discovery.wisc.edu,27,27,5,4000,1465,3418,4,0,5,5,00:07,00:07,00:13,00:13,05:53,01:21,02:32
townsend-submit.chtc.wisc.edu,22,48,4,32768,21973,34180,1,0,4,2,01:51,01:51,13:22,19:44,19:51,12:07,09:07
batlabsubmit0001.chtc.wisc.edu,19,62,247,9829,0,9766,2,163,247,173,00:00,00:00,00:00,00:07,02:25,00:15,00:33
mir-submit1.discovery.wisc.edu,6,7,212,5000,0,440,4,148,212,210,00:00,00:00,00:00,00:01,01:13,00:01,00:07
