scheedName,Jobs,NumJobStarts,CoreHr,CommittedCoreHr,RequestCpus,MemoryUsage,MemoryMB,Min,25%,Median,75%,Max,Mean,Std
submit-1.chtc.wisc.edu,48340,49058,45425.96,43914.55,4,17981,18280,0,0.17,0.27,1.52,20.07,0.91,1.27
sub-1.icecube.wisc.edu,39866,42547,55649.57,45673.87,1,9766,7598,0,0.01,0.07,2.31,34.51,1.15,1.77
login05.hep.wisc.edu,6472,6472,1069.22,1068.79,1,489,474,0,0.1,0.14,0.2,4.68,0.17,0.16
osggrid01.hep.wisc.edu,3870,3873,28905.52,28905.23,8,12208,12143,0.17,0.41,1.04,6.29,182.92,7.47,20.8
sub-simprod-2.icecube.wisc.edu,450,468,5830.2,4895.07,20,36622,34270,0,0.67,2.69,13.64,144.17,10.88,18.49
cmsgrid01.hep.wisc.edu,5155,5155,19373.55,19372.61,8,14649,12975,0.02,2.68,2.68,2.69,352.87,3.76,12.33
keles-submit.chtc.wisc.edu,1160,1160,226.38,226.37,1,1221,988,0.01,0.13,0.16,0.22,1.27,0.2,0.11
submit2.chtc.wisc.edu,14896,14982,11588.81,11563.95,10,68999,69002,0,0.05,0.21,1.1,54.04,0.78,1.55
login03.hep.wisc.edu,12765,14481,2089.94,2000.9,1,977,744,0,0.01,0.05,0.14,6.74,0.16,0.27
osghost.chtc.wisc.edu,278,290,562.71,469.83,1,2198,2048,0,0.9,1.71,2.14,3.96,1.69,1.05
batlabsubmit0001.chtc.wisc.edu,488,488,221.59,87.99,1,1954,1753,0,0,0,0,2.37,0.18,0.5
htcondor.erc.wisc.edu,6,6,9.95,9.95,8,940,941,0.14,0.14,0.4,0.52,7.86,1.66,3.05
exocet.bmrb.wisc.edu,2317,3309,12499.51,9345.65,1,2198,2089,0.02,0.77,3.7,5.55,21.11,4.03,3.37
submit3.chtc.wisc.edu,3270,3695,7569.67,7391.58,2,31739,31647,0,0.01,2.41,4.36,21.85,2.26,2.1
lhcb-ce.chtc.wisc.edu,523,523,8041.53,8041.52,1,1954,1807,3.17,13.62,17.11,18.66,48.27,15.38,5.75
login01.hep.wisc.edu,2340,2340,128.56,82.39,1,733,686,0,0.01,0.01,0.02,6.85,0.04,0.27
login06.hep.wisc.edu,28206,28215,11793.23,11595.8,1,1465,1315,0,0,0.01,0.01,11.63,0.41,1.78
mir-submit1.discovery.wisc.edu,5,5,2.03,0.67,1,3174,3066,0,0,0,0,0.34,0.13,0.18
roy-submit.discovery.wisc.edu,1,1,1.28,1.28,1,14649,14114,1.27,1.27,1.27,1.27,1.27,1.28,0
login04.hep.wisc.edu,86,92,8.44,8.4,1,245,239,0,0.1,0.11,0.12,0.23,0.1,0.05
login02.hep.wisc.edu,18035,18036,688.99,502.33,1,269,261,0,0.02,0.02,0.03,0.17,0.03,0.02
