Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Request Gpus,Min,25%,Median,75%,Max,Mean,Std
sub-simprod-2.icecube.wisc.edu,1810,6474,604,3300,318,4883,2,0,1035,1096,1,00:09,00:09,00:10,07:44,40:18,05:21,08:14
submit2.chtc.wisc.edu,76,76,37,15360,2589,3846,8,0,37,37,1,00:04,00:04,00:12,00:13,08:10,00:22,01:19
