Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
sub-1.icecube.wisc.edu,73680,79695,40412,10240,318,9766,1,6808,43050,55864,00:00,01:05,01:38,02:40,29:58,01:49,01:47
submit2.chtc.wisc.edu,60015,61615,17284,30720,977,19532,20,1147,17360,17434,00:00,00:01,00:52,01:00,259:37,03:28,06:59
submit3.chtc.wisc.edu,48513,72514,18716,32768,147,9766,2,3,25256,27148,00:00,00:07,00:10,04:50,244:43,02:35,10:45
cmsgrid01.hep.wisc.edu,18415,18415,324,20000,831,19532,8,0,324,324,00:01,00:02,00:26,05:03,60:02,56:50,15:26
submit-1.chtc.wisc.edu,17611,27240,15635,76800,1047,51817,16,2255,18237,20593,00:00,00:01,00:04,00:24,135:17,01:07,05:14
login03.hep.wisc.edu,8355,8835,43530,3000,98,7325,1,34165,43547,43665,00:00,00:00,00:00,00:00,41:11,00:11,01:20
sub-simprod-2.icecube.wisc.edu,6720,12402,3312,3300,1465,7325,2,729,4004,4365,00:00,00:02,00:13,01:50,40:26,02:01,03:52
login06.hep.wisc.edu,4699,4724,418,3000,3907,7325,1,0,428,563,00:03,06:54,11:59,15:26,24:37,11:14,05:13
login05.hep.wisc.edu,4579,4780,593,2500,123,147,1,0,594,586,00:51,03:44,07:05,11:28,30:04,07:43,04:52
roy-submit.discovery.wisc.edu,3658,13991,231,53712,24415,31739,1,50,1584,1792,00:00,16:23,38:13,49:31,335:03,15:50,78:38
osggrid01.hep.wisc.edu,2757,2763,2111,15000,2,7325,8,0,2115,2172,00:10,00:20,00:20,00:21,23:03,01:18,02:52
exocet.bmrb.wisc.edu,1869,3190,594,3126,330,1954,1,0,1094,1122,00:07,03:01,04:09,07:14,18:22,03:08,03:09
lhcb-ce.chtc.wisc.edu,1615,1615,226,2000,1465,2198,1,0,226,236,00:02,04:44,05:35,06:28,32:46,07:08,05:21
login04.hep.wisc.edu,1554,1554,2547,3000,245,2442,1,3,2547,2547,00:00,00:27,00:31,00:40,03:20,00:36,00:18
deepdivesubmit2000.chtc.wisc.edu,1156,1261,2079,14000,2451,10556,1,7,2967,6395,00:00,00:03,00:05,00:23,07:45,00:33,01:01
login02.hep.wisc.edu,734,734,1659,2000,245,293,1,2,1659,1659,00:00,00:21,00:25,00:29,01:59,00:26,00:11
roy-exec-1.discovery.wisc.edu,727,1807,6,51200,7325,7325,1,0,379,408,254:25,254:25,290:13,302:23,373:04,121:11,44:22
login01.hep.wisc.edu,705,1127,62,14000,3663,7325,1,0,106,106,01:56,06:37,19:43,24:20,63:15,11:22,10:40
htcondor.erc.wisc.edu,545,763,10,8192,2271,3303,4,0,18,20,07:23,32:03,76:59,79:53,86:43,54:28,25:54
osghost.chtc.wisc.edu,502,554,294,2048,2198,2198,1,33,294,309,00:00,00:49,01:47,02:32,20:06,01:42,01:51
osg-sw-submit.chtc.wisc.edu,183,189,466,2048,2198,2198,1,8,466,482,00:00,00:15,00:22,00:29,02:34,00:23,00:14
learn.chtc.wisc.edu,1,1,5,8192,1465,9766,1,1,5,5,00:00,00:00,00:02,00:02,01:18,00:17,00:34
oconnorsubmit3000.chtc.wisc.edu,1,1,4,32768,2,32,4,0,4,4,00:05,00:05,00:05,00:05,00:05,00:20,00:00
mir-submit1.discovery.wisc.edu,0,2795,224,200,0,32,1,210,235,206,00:00,00:00,00:00,00:00,389:38,00:00,56:10
submittest0000.chtc.wisc.edu,0,0,10,64,1,74,1,10,10,10,00:00,00:00,00:00,00:00,00:00,00:00,00:00
