scheedName,Jobs,NumJobStarts,CoreHr,CommittedCoreHr,RequestCpus,MemoryUsage,MemoryMB,Min,25%,Median,75%,Max,Mean,Std
sub-1.icecube.wisc.edu,705,1061,1254.39,1071.47,1,2442,2358,0,0,0,3.15,5.74,1.52,1.67
submit3.chtc.wisc.edu,303,355,1512.93,1455.72,1,4639,4568,0.08,2.65,5.78,6.64,11.34,4.8,2.51
login02.hep.wisc.edu,553,553,1245.9,1208.45,1,3907,3741,0,0.5,1.04,3.38,11.3,2.19,2.53
exocet.bmrb.wisc.edu,86,115,676.65,595.51,1,416,400,0.03,1.4,5.39,8.46,16.92,6.92,6.29
sub-simprod-2.icecube.wisc.edu,364,443,10736.18,8562.21,64,244141,234061,0.19,0.2,0.39,1.2,1558.7,23.52,104.51
lhcb-ce.chtc.wisc.edu,6,6,37.27,37.27,1,1709,1511,5.25,5.62,5.99,6.34,7.3,6.21,0.86
submit2.chtc.wisc.edu,34,34,371.54,371.54,1,977,941,0.72,9.72,11.84,13.03,13.68,10.93,3.15
submit-1.chtc.wisc.edu,58,59,1512.63,1454.64,16,73243,49928,0,6.49,7.79,8.57,853.65,25.08,111.33
osggrid01.hep.wisc.edu,1,1,15.54,15.54,1,1709,1676,15.54,15.54,15.54,15.54,15.54,15.54,0
cmsgrid01.hep.wisc.edu,66,66,31190.4,31190.39,8,17090,15420,437.96,469.22,473.91,478.04,480.41,472.58,7.45
