scheedName,Jobs,NumJobStarts,CoreHr,CommittedCoreHr,RequestCpus,MemoryUsage,MemoryMB,Min,25%,Median,75%,Max,Mean,Std
sub-1.icecube.wisc.edu,343601,349383,110449.11,103108.41,1,7325,6765,0,0.08,0.2,0.34,9.26,0.3,0.45
login04.hep.wisc.edu,4959,4959,4299.66,4299.48,1,1465,1393,0,0.58,0.77,0.96,6.02,0.87,0.52
osggrid01.hep.wisc.edu,9029,9029,21267.32,21267.23,8,9766,9261,0.17,0.41,0.7,0.74,184.37,2.36,10.93
submit2.chtc.wisc.edu,78797,79038,165599.88,165329.1,20,46387,44783,0,0.14,0.54,2.4,1284.99,2.1,7.03
cmsgrid01.hep.wisc.edu,1790,1790,17058.77,17057.89,8,17090,16385,0.02,2.68,2.68,2.68,481.4,9.53,53.87
login01.hep.wisc.edu,5512,5873,17885.54,15093.03,1,9766,8767,0,0.01,0.01,0.01,32.85,2.74,6.48
submit3.chtc.wisc.edu,7822,8334,28012,26794.17,1,7325,5189,0,0.08,3.48,4.7,56.88,3.43,2.75
lhcb-ce.chtc.wisc.edu,1073,1073,7674.59,7674.59,1,1954,1761,1.69,5.4,6.48,7.57,21.86,7.15,3.39
submit-1.chtc.wisc.edu,29804,30403,27779.77,27578.51,16,122071,112991,0,0.14,0.47,1.06,924.2,0.93,5.63
login02.hep.wisc.edu,4894,4894,3586.97,3586.81,1,342,331,0.01,0.57,0.74,0.89,2.23,0.73,0.32
login05.hep.wisc.edu,7029,7029,780.1,634.4,1,3907,3786,0,0.01,0.01,0.01,24.37,0.09,0.77
sub-simprod-2.icecube.wisc.edu,737,1276,8527.79,3882.83,2,46387,44394,0,0.01,0.19,2.79,86.99,5.27,13.16
roy-submit.discovery.wisc.edu,114,284,9893.75,5084.99,1,31739,29421,0.53,4.84,8.25,86.28,150.47,44.61,49.84
login06.hep.wisc.edu,17,17,52.26,49.86,1,4151,4047,0,0,0.16,0.33,46.32,2.93,11.18
htcondor.erc.wisc.edu,6,6,458.58,458.58,8,8315,8317,31.24,31.24,70.64,74.95,138.14,76.43,35.76
login01.physics.wisc.edu,9,203,519.62,210.37,1,4639,4499,12.6,14.55,21.6,27.41,35.26,23.37,7.66
exocet.bmrb.wisc.edu,183,282,857.44,684.16,1,464,460,0.02,1.99,3.65,5.76,7.67,3.74,2.14
osghost.chtc.wisc.edu,238,238,523.16,514.12,1,2198,2048,0,1.55,2.29,2.72,3.84,2.16,0.86
login03.hep.wisc.edu,4776,4777,304.67,226.94,1,293,270,0,0.02,0.03,0.07,0.35,0.05,0.05
roy-exec-1.discovery.wisc.edu,2,8,162.49,88.06,1,7325,6659,3.51,3.51,44.03,3.51,84.56,44.03,57.31
