Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
submit2.chtc.wisc.edu,68008,69451,4620,512000,977,21973,16,29,4632,5757,00:00,00:56,01:11,12:00,276:15,08:37,13:36
submit3.chtc.wisc.edu,59370,66624,30478,32768,98,14649,2,6,33357,39847,00:00,00:08,00:11,02:14,360:12,02:11,07:29
sub-1.icecube.wisc.edu,41897,44301,68092,10240,733,9766,1,261,69539,69696,00:00,00:01,00:12,00:46,17:30,00:39,01:02
submit-1.chtc.wisc.edu,33017,43970,12562,131072,977,97657,16,95,16628,19876,00:00,00:18,00:24,00:30,260:41,03:18,12:55
login03.hep.wisc.edu,20061,22011,10411,3000,147,7325,1,664,10656,11812,00:00,00:03,00:15,02:00,96:34,02:06,05:21
login06.hep.wisc.edu,14051,16812,1823,3000,123,7325,1,160,1824,1955,00:00,05:21,08:33,11:20,79:28,09:13,10:17
osggrid01.hep.wisc.edu,9142,9142,1889,15000,74,12208,8,0,1891,1904,00:15,00:21,00:23,05:38,23:04,04:28,07:09
cmsgrid01.hep.wisc.edu,8627,8627,201,20000,1,14649,8,0,202,202,00:01,00:01,00:02,00:05,60:01,05:23,16:07
sub-simprod-2.icecube.wisc.edu,8092,12115,8903,3300,1465,4883,2,128,9396,9765,00:00,00:05,00:09,00:21,59:02,00:46,02:32
exocet.bmrb.wisc.edu,6223,8830,3083,3516,440,2198,1,0,5119,5276,00:03,01:32,01:59,02:33,24:59,02:51,03:03
lhcb-ce.chtc.wisc.edu,5542,5542,1018,2000,1465,2198,1,0,1018,1020,00:02,04:38,05:20,06:05,16:37,05:26,01:15
roy-submit.discovery.wisc.edu,3662,9880,234,114688,24415,122071,1,0,1102,1509,13:57,22:56,36:46,45:33,454:07,42:13,51:24
wrightsubmit.chtc.wisc.edu,3494,3513,37098,2000,1116,1220,1,0,38275,38351,00:02,00:04,00:05,00:06,00:55,00:05,00:01
osghost.chtc.wisc.edu,537,580,270,2048,2198,2198,1,14,277,310,00:00,01:03,02:05,03:06,06:01,02:08,01:13
deepdivesubmit2000.chtc.wisc.edu,531,734,253,4029,2442,2686,1,0,253,334,00:06,01:09,01:58,04:09,07:41,02:54,02:18
login02.hep.wisc.edu,468,468,7129,1024,269,3418,1,2440,7129,7132,00:00,00:00,00:02,00:05,01:10,00:03,00:04
htcondor.erc.wisc.edu,194,194,3,8192,2382,3121,4,1,3,3,00:00,00:00,11:33,11:33,45:37,19:03,23:43
login01.hep.wisc.edu,163,356,5,14000,14649,14649,1,0,14,14,52:19,52:19,76:13,76:13,76:51,71:10,10:36
login05.hep.wisc.edu,62,2124,2416,3000,342,1465,1,620,2416,1213,00:00,00:00,00:04,00:19,24:29,00:52,03:28
roy-exec-1.discovery.wisc.edu,47,442,1,51200,7325,7325,1,0,93,98,442:04,442:04,442:04,442:04,442:04,442:04,00:00
townsend-submit.chtc.wisc.edu,33,43,6,8192,9766,9766,1,0,6,5,05:27,05:27,05:51,06:01,10:15,07:10,02:19
learn.chtc.wisc.edu,13,13,1,65536,73243,73243,2,0,1,1,06:20,06:20,06:20,06:20,06:20,06:20,00:00
mir-submit1.discovery.wisc.edu,0,1,5,1,0,0,1,1,5,3,00:00,00:00,00:01,00:01,00:20,00:08,00:10
