scheedName,Jobs,NumJobStarts,CoreHr,CommittedCoreHr,RequestCpus,MemoryUsage,MemoryMB,Min,25%,Median,75%,Max,Mean,Std
login01.hep.wisc.edu,1757,2015,15019.22,12960.23,1,9766,9044,0,2.04,4.88,9.04,32.62,7.38,7.56
keles-submit.chtc.wisc.edu,5668,5668,1748.12,1735.66,1,1221,1118,0,0.12,0.18,0.32,3.12,0.31,0.35
roy-exec-1.discovery.wisc.edu,3,54,390,56.44,1,146485,135775,0.31,0.31,12.44,12.44,43.69,18.81,22.38
osggrid01.hep.wisc.edu,6141,6230,28351.59,28346.56,8,17090,15085,0.16,0.69,0.72,2.32,183.52,4.62,12.14
lhcb-ce.chtc.wisc.edu,1229,1229,9561.5,9561.5,1,1954,1779,0.03,5.1,5.78,6.63,26.5,7.78,5.27
sub-simprod-2.icecube.wisc.edu,10459,10716,5762.09,4130.69,2,73243,55096,0,0.09,0.13,0.37,90.9,0.39,2.5
exocet.bmrb.wisc.edu,451,500,549.31,502.46,1,2198,2081,0.02,0.06,0.16,2.42,5.81,1.11,1.52
submit3.chtc.wisc.edu,12149,12589,31096.98,30449.5,1,7325,6557,0,0.37,1.98,3.21,86.22,2.51,3.17
login06.hep.wisc.edu,19753,19754,14801.21,13258.97,1,2198,1955,0,0.01,0.04,0.13,31.81,0.67,2.34
login04.hep.wisc.edu,3457,3462,1926.43,1925.9,1,440,431,0.01,0.25,0.52,0.75,3.27,0.56,0.39
htcondor.erc.wisc.edu,14,14,1856.31,1856.31,8,8325,8326,0.69,15.54,107.41,132.34,473.22,132.59,133.64
sub-1.icecube.wisc.edu,109452,112301,42673.53,38241.44,1,9766,8151,0,0.08,0.19,0.37,21.81,0.35,0.61
login03.hep.wisc.edu,255,255,686.03,639.41,1,4151,4064,0,0.43,1.76,3.93,10.44,2.51,2.38
cmsgrid01.hep.wisc.edu,1054,1054,38605.6,38605.42,8,17090,15536,0.02,2.68,2.68,2.71,480.52,36.63,122.71
submit-1.chtc.wisc.edu,57030,58344,40828.69,36188.78,16,73243,60434,0,0.02,0.2,0.79,571.48,0.63,2.71
roy-submit.discovery.wisc.edu,12823,15729,9560.11,7495.38,1,31739,29380,0.05,0.2,0.33,0.7,178.47,0.58,2.25
submit2.chtc.wisc.edu,24805,24822,81396.75,81321.29,20,36629,64149,0,0.02,0.62,2.14,970.33,3.28,11.35
login05.hep.wisc.edu,7394,7394,12836.61,11820.15,1,318,301,0,0.01,0.01,0.3,28.97,1.6,3.45
login02.hep.wisc.edu,4793,4794,2601.94,2601.68,1,7325,5793,0.01,0.37,0.54,0.66,2.61,0.54,0.29
osghost.chtc.wisc.edu,272,276,545.53,513.7,1,2198,2048,0,1.15,2.17,2.61,3.7,1.89,0.99
login01.physics.wisc.edu,82,1659,3817.17,1399.25,1,4395,4214,0.03,10.08,17.75,24.91,34.22,17.06,11.26
wid-submit.discovery.wisc.edu,5,116,1.75,0.72,1,97657,87642,0,0,0.04,0.04,0.63,0.14,0.27
submittest0000.chtc.wisc.edu,5,5,0.71,0.71,2,13,12,0,0,0.14,0.14,0.31,0.14,0.12
