Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
submit3.chtc.wisc.edu,67849,79949,20108,65536,98,31739,2,7,22201,24459,00:00,00:09,00:25,04:42,220:25,03:22,09:36
submit2.chtc.wisc.edu,52872,54877,22059,30720,977,17090,20,12,22205,22341,00:00,00:37,00:50,01:01,229:44,02:23,06:58
sub-1.icecube.wisc.edu,34679,36309,16981,10240,318,9766,1,1009,18263,21029,00:00,01:21,01:44,02:39,20:35,02:02,01:26
osggrid01.hep.wisc.edu,13623,13623,2302,15000,13,7325,8,0,2302,2311,00:11,00:20,00:23,08:10,23:05,05:55,09:06
login03.hep.wisc.edu,13586,13960,8678,3000,220,7325,1,3231,8695,8665,00:00,00:00,00:01,02:03,46:56,01:33,03:07
submit-1.chtc.wisc.edu,12803,17935,16950,122880,1,122071,16,21,17626,20403,00:00,00:06,00:11,00:21,130:27,00:45,04:32
cmsgrid01.hep.wisc.edu,12348,12348,344,20000,62,14649,8,0,344,344,00:01,00:02,00:13,02:31,59:59,35:53,13:08
login06.hep.wisc.edu,9161,9558,676,3000,123,7325,1,0,676,669,00:14,11:03,13:48,16:16,50:55,13:33,05:49
login05.hep.wisc.edu,7266,8877,2293,3000,3,147,1,1354,2293,2242,00:00,00:00,00:00,06:10,48:26,03:10,07:15
sub-simprod-2.icecube.wisc.edu,6184,10252,2981,3300,1465,7325,2,157,3520,3756,00:00,00:07,00:19,01:43,35:23,02:04,03:30
htcondor.erc.wisc.edu,3336,3631,64,4096,2214,3456,1,0,80,81,46:20,52:19,56:41,60:24,70:09,52:07,05:44
roy-submit.discovery.wisc.edu,2813,16597,607,87892,1709,43946,1,150,5897,6177,00:00,00:19,00:51,18:41,315:51,04:38,57:57
lhcb-ce.chtc.wisc.edu,1853,1853,237,2000,1465,2198,1,0,237,238,02:54,04:24,05:45,07:02,35:43,07:49,06:15
deepdivesubmit2000.chtc.wisc.edu,889,1373,2693,12999,7906,8666,1,40,4840,7490,00:00,00:02,00:04,00:18,06:29,00:19,00:55
login02.hep.wisc.edu,786,786,1954,2000,245,318,1,2,1954,1956,00:00,00:19,00:24,00:29,01:20,00:24,00:10
roy-exec-1.discovery.wisc.edu,502,1505,6,51200,7325,7325,1,0,163,167,222:19,222:19,246:31,247:15,315:57,83:40,34:01
login04.hep.wisc.edu,418,418,1148,2000,123,318,1,1,1148,1148,00:00,00:14,00:18,00:25,02:25,00:21,00:12
osg-sw-submit.chtc.wisc.edu,253,264,475,2048,2198,2198,1,13,475,525,00:00,00:16,00:25,00:46,02:52,00:31,00:23
login01.hep.wisc.edu,145,629,81,14000,220,9766,1,0,93,120,00:06,00:06,00:07,00:09,302:51,01:47,35:23
login01.physics.wisc.edu,96,129,2,4096,2930,2930,1,0,3,6,62:33,62:33,64:30,62:33,66:28,48:01,02:45
osghost.chtc.wisc.edu,50,54,35,2048,2198,2198,1,5,36,179,00:00,00:02,01:48,02:31,03:47,01:25,01:10
exocet.bmrb.wisc.edu,23,50,37,2344,98,2198,1,0,59,65,00:06,00:07,00:10,00:21,20:25,00:37,04:37
htcondor.bitp.kiev.ua,1,1,2,2,3,4,28,0,2,2,00:01,00:01,00:01,00:01,00:01,00:30,00:00
submittest0000.chtc.wisc.edu,0,0,50,64,1,147,1,50,50,50,00:00,00:00,00:00,00:00,00:00,00:00,00:00
learn.chtc.wisc.edu,0,0,8,2048,1709,1954,1,0,8,8,00:01,00:02,00:02,00:03,00:05,00:02,00:01
mir-submit1.discovery.wisc.edu,0,0,1,512,4,4,1,0,1,1,00:19,00:19,00:19,00:19,00:19,00:19,00:00
