Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Request Gpus,Min,25%,Median,75%,Max,Mean,Std
sub-simprod-2.icecube.wisc.edu,364,1583,177,3300,391,4395,2,3,272,274,1,00:00,00:07,00:09,00:12,56:04,04:28,09:41
submit2.chtc.wisc.edu,48,49,163,8192,1601,7325,2,8,165,165,1,00:00,00:01,00:01,00:06,01:22,00:11,00:22
