scheedName,Jobs,NumJobStarts,CoreHr,CommittedCoreHr,RequestCpus,MemoryUsage,MemoryMB,Min,25%,Median,75%,Max,Mean,Std
submit2.chtc.wisc.edu,14390,14404,51083.82,51055,20,17090,131453,0,0.69,2.2,5.85,686.79,3.55,7.24
exocet.bmrb.wisc.edu,1867,2598,10483.96,7816.95,1,2198,2054,0,0.09,3.27,7.07,36.83,4.19,4.77
login03.hep.wisc.edu,24500,24506,9337.24,8815.43,1,1954,1883,0,0.02,0.06,0.09,16.17,0.36,1.79
osggrid01.hep.wisc.edu,3171,3172,12211.92,12211.88,8,17090,15101,0.16,0.42,1.37,3.16,182.82,3.85,12.12
sub-1.icecube.wisc.edu,44215,54310,119696.37,98059.14,1,9766,8286,0,0.04,0.46,2.9,54.25,2.22,6.11
submit-1.chtc.wisc.edu,11098,11365,44219.02,44034.76,16,97657,79590,0,0.01,0.02,0.28,181.42,3.97,13.86
keles-submit.chtc.wisc.edu,10896,10897,4260.45,4224.32,1,1221,1126,0,0.17,0.27,0.45,5.13,0.39,0.39
batlabsubmit0001.chtc.wisc.edu,690,690,482.86,150.84,1,2686,2543,0,0,0,0,5.32,0.22,0.57
cmsgrid01.hep.wisc.edu,4697,4697,32028.09,32027.28,8,14649,13422,0.02,2.68,2.68,2.69,480.4,6.82,41.62
wrightsubmit.chtc.wisc.edu,10575,10779,1194.95,1164.84,1,1170,1171,0.05,0.09,0.1,0.13,0.37,0.11,0.03
sub-simprod-2.icecube.wisc.edu,35094,35367,53209.78,48136.81,64,73243,52704,0,0.2,0.39,0.4,749.08,1.37,11.48
login04.hep.wisc.edu,2907,2907,113.25,85.48,1,342,327,0,0.01,0.01,0.02,0.32,0.03,0.05
osghost.chtc.wisc.edu,238,238,511.39,502.04,1,2198,2048,0,1.57,2.4,2.59,3.6,2.11,0.82
login02.hep.wisc.edu,18154,18154,5560.42,5203.61,1,3663,3419,0,0.01,0.08,0.2,11.3,0.29,0.69
login01.hep.wisc.edu,3155,3304,183.17,145.02,1,7325,6321,0,0.01,0.01,0.04,3.06,0.05,0.24
townsend-submit.chtc.wisc.edu,10,10,52.97,40.88,1,3418,3286,0,0,0.55,8.88,12.07,4.09,5.09
lhcb-ce.chtc.wisc.edu,416,416,6031.8,6031.8,1,1709,1708,3.28,6.78,16.88,19.31,33.53,14.5,6.84
htcondor.erc.wisc.edu,17,20,1272.09,1128.75,8,8672,8673,0.04,0.05,68.11,77.2,164.34,66.4,49.08
mir-submit1.discovery.wisc.edu,143,143,0.95,0.37,1,3,2,0,0,0,0,0.03,0,0.01
login05.hep.wisc.edu,10972,10972,26808.03,25027.17,1,318,309,0,0.43,0.54,0.72,42.72,2.28,6.2
submit3.chtc.wisc.edu,118,120,278.48,272.34,1,14649,14370,1.05,1.57,2.27,2.79,6.08,2.31,0.89
submittest0000.chtc.wisc.edu,16,16,16.07,16.07,2,2,2,0.01,1,1,1,2,1,0.63
login06.hep.wisc.edu,600,600,174.43,89.67,1,14649,12286,0,0.01,0.01,0.01,45.97,0.15,2.45
login01.physics.wisc.edu,2,2,0.2,0.18,1,147,140,0,0,0.09,0,0.18,0.09,0.13
htcondor.bitp.kiev.ua,3,6,3165.49,1554.59,22,220,218,492.7,492.7,530.65,530.65,531.24,518.2,22.08
