Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
submit3.chtc.wisc.edu,129551,152230,59833,19532,977,9766,1,508,71427,120104,00:00,01:07,01:45,02:28,388:33,02:32,07:15
sub-1.icecube.wisc.edu,72369,75905,70345,10240,489,9766,1,78,73132,73279,00:00,00:01,00:16,01:24,19:20,01:04,01:39
submit2.chtc.wisc.edu,68321,69316,1873,512000,733,23616,16,20,1851,2371,00:00,11:40,16:03,20:14,259:31,16:34,11:19
submit-1.chtc.wisc.edu,29073,33187,3602,122880,977,122071,16,102,6502,8113,00:00,00:31,00:34,08:20,285:36,08:47,20:14
cmsgrid01.hep.wisc.edu,17473,17473,273,20000,1,14649,8,0,273,273,00:01,00:01,00:03,01:09,60:06,08:01,19:31
osggrid01.hep.wisc.edu,14639,14639,2481,15000,27,12208,8,0,2481,2521,00:16,00:21,00:22,13:05,23:03,05:42,09:02
sub-simprod-2.icecube.wisc.edu,11955,15956,21592,3300,1465,7325,2,1149,22398,22712,00:00,00:05,00:15,00:26,61:38,00:32,01:34
exocet.bmrb.wisc.edu,8967,13612,1727,3126,391,1954,1,0,3268,3409,00:01,04:50,07:06,10:05,34:20,07:52,04:09
login05.hep.wisc.edu,8447,8601,10716,5000,269,7325,1,748,10716,9738,00:00,00:10,00:30,00:53,09:16,00:48,00:58
lhcb-ce.chtc.wisc.edu,3882,3882,561,2000,1465,2198,1,0,561,563,00:09,05:25,06:12,06:56,33:15,06:55,03:48
roy-submit.discovery.wisc.edu,3565,6797,157,114688,24415,122071,1,1,759,951,00:00,27:15,36:51,49:00,442:18,43:17,56:34
login02.hep.wisc.edu,1699,1699,7656,3072,245,1221,1,2099,7656,7657,00:00,00:00,00:03,00:27,01:40,00:13,00:17
login03.hep.wisc.edu,1482,2127,242,3000,3174,7325,1,58,306,399,00:16,06:50,07:59,10:16,40:03,08:47,04:17
login06.hep.wisc.edu,690,697,13177,3072,1,7325,1,11683,13177,13185,00:00,00:00,00:00,00:00,21:17,00:03,00:43
osghost.chtc.wisc.edu,503,511,238,2048,2198,2198,1,7,238,294,00:00,01:10,02:19,02:59,04:13,02:08,01:02
deepdivesubmit2000.chtc.wisc.edu,473,590,337,4029,2442,2686,1,0,337,494,00:06,01:05,01:29,02:04,07:30,01:44,01:06
login01.hep.wisc.edu,414,957,15,14000,12208,14649,1,0,38,37,18:45,22:30,87:55,92:28,96:29,63:48,33:18
htcondor.erc.wisc.edu,162,162,4,8192,1899,3672,4,0,4,4,00:10,00:10,09:45,19:04,21:17,10:14,11:30
osg-sw-submit.chtc.wisc.edu,99,145,1160,2048,74,2198,1,292,1160,1168,00:00,00:00,00:03,00:06,01:28,00:07,00:10
townsend-submit.chtc.wisc.edu,74,105,22,16384,4029,17090,1,0,22,18,00:16,00:21,02:33,08:08,19:20,04:46,05:03
login01.physics.wisc.edu,1,1,12,8192,1,1,1,0,12,12,00:04,00:05,00:05,00:05,00:06,00:05,00:00
mir-submit1.discovery.wisc.edu,0,1,5,1,0,0,1,1,5,3,00:00,00:00,00:01,00:01,00:33,00:13,00:17
wid-submit.discovery.wisc.edu,0,0,4,512,0,4,1,4,4,4,00:00,00:00,00:00,00:00,00:00,00:00,00:00
learn.chtc.wisc.edu,0,0,1,12288,7325,7325,1,0,1,1,00:04,00:04,00:04,00:04,00:04,00:04,00:00
