scheedName,Jobs,NumJobStarts,CoreHr,CommittedCoreHr,RequestCpus,MemoryUsage,MemoryMB,Min,25%,Median,75%,Max,Mean,Std
htcondor.erc.wisc.edu,2,2,73.91,73.91,8,8658,8659,20.27,20.27,36.95,20.27,53.64,36.96,23.6
submit-1.chtc.wisc.edu,14179,14317,29495.49,29150.25,16,97657,83685,0,0.01,0.41,1.8,1457.66,2.06,20.6
lhcb-ce.chtc.wisc.edu,1261,1261,8803.37,8803.36,1,1954,1784,0.04,4.79,5.69,6.81,157.03,6.98,7.99
submit2.chtc.wisc.edu,28717,29254,108800.49,79208.11,20,36622,35806,0,0.18,1.28,3.06,834.94,2.76,9.49
login05.hep.wisc.edu,92135,92144,10724.99,10501.58,1,4639,4503,0,0.01,0.01,0.01,15.46,0.11,0.85
osggrid01.hep.wisc.edu,10432,10445,34824.25,34822.19,8,14649,13150,0.16,0.38,0.42,0.73,184.02,3.34,14.04
roy-submit.discovery.wisc.edu,183,340,11983.42,10399.42,1,31739,29791,0.72,48.07,59.12,66.97,126.01,56.83,22.25
exocet.bmrb.wisc.edu,2649,3440,6047.79,5099.82,1,489,473,0,0.09,1.46,3.28,10.24,1.93,1.85
sub-simprod-2.icecube.wisc.edu,4307,5009,10686.47,5003.78,2,73243,51240,0,0.01,0.01,0.01,62.89,1.16,4.78
login01.hep.wisc.edu,4952,4952,17116.44,17036.47,1,7325,5910,0,0.55,1.89,5.36,19.1,3.44,3.76
submit3.chtc.wisc.edu,3190,3342,11353.56,11266.17,1,43946,42513,0.01,2.26,3.53,4.76,38.37,3.53,2.48
sub-1.icecube.wisc.edu,202211,210518,131789.93,113554.33,1,7325,6589,0,0.12,0.25,0.53,26.99,0.56,1.52
cmsgrid01.hep.wisc.edu,4291,4291,40226.85,40225.93,8,17090,16825,0.02,2.68,2.68,2.68,480.9,9.37,53.13
login06.hep.wisc.edu,110296,110579,7231.45,7022.38,1,7325,5956,0,0.01,0.01,0.01,29.09,0.06,0.82
login04.hep.wisc.edu,2182,2188,1803.37,1778.07,1,2198,2033,0,0.54,0.65,0.83,14.64,0.81,0.83
login02.hep.wisc.edu,2161,2165,1586.21,1582.59,1,318,303,0.01,0.53,0.65,0.82,3.54,0.73,0.37
keles-submit.chtc.wisc.edu,10,10,21.16,21.16,1,977,896,0.06,0.08,0.4,2.42,8.91,2.12,2.96
login01.physics.wisc.edu,195,459,4825.65,2946.35,1,4639,4401,8.33,9.87,14.74,15.91,46.79,15.11,7.47
osghost.chtc.wisc.edu,238,240,509.58,491.28,1,2198,2048,0,1.24,2.3,2.74,3.77,2.06,0.92
login03.hep.wisc.edu,23575,23592,2335.35,2202.85,1,7325,5320,0,0.01,0.01,0.04,17.82,0.09,0.29
townsend-submit.chtc.wisc.edu,2,2,60.76,30.37,1,3174,3100,0,0,15.18,0,30.37,15.19,21.47
