Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
submit2.chtc.wisc.edu,102650,107139,9168,102400,489,122071,16,1387,11083,11142,00:00,00:05,06:10,11:06,417:40,06:59,09:35
submit3.chtc.wisc.edu,96612,121844,42012,65536,733,24415,2,19,48235,50686,00:00,00:09,00:23,01:43,525:59,02:53,11:15
submit-1.chtc.wisc.edu,15289,16023,7754,195314,293,97657,20,3064,8111,8655,00:00,00:00,00:02,00:09,78:29,01:06,06:11
sub-simprod-2.icecube.wisc.edu,9106,13789,15767,3300,1465,4395,2,488,16776,17124,00:00,00:06,00:12,00:26,63:22,00:34,01:29
osggrid01.hep.wisc.edu,9059,9059,6235,15000,74,17090,8,19,6235,6281,00:00,00:20,00:21,00:24,23:18,01:04,03:11
lhcb-ce.chtc.wisc.edu,4438,4438,367,2000,1709,2198,1,0,367,371,00:05,05:27,14:28,17:09,24:26,12:05,06:04
exocet.bmrb.wisc.edu,4145,5912,749,3126,391,2198,1,0,1224,1274,00:37,03:13,07:32,10:46,79:12,07:53,05:34
sub-1.icecube.wisc.edu,2379,6593,550,6144,245,4883,1,0,1024,1413,00:16,01:50,08:39,20:37,34:04,11:59,10:21
roy-submit.discovery.wisc.edu,1245,1982,39,130000,7325,122071,1,0,65,71,29:12,30:59,31:59,35:56,297:10,50:48,62:23
cmsgrid01.hep.wisc.edu,965,965,152,20000,1,21973,8,0,152,153,00:01,00:01,00:02,00:03,59:47,00:49,05:20
keles-submit.chtc.wisc.edu,679,720,1041,4096,1221,4151,1,15,1042,1046,00:00,00:08,00:11,00:22,37:27,00:41,02:47
login06.hep.wisc.edu,371,430,52404,5000,0,7325,1,52063,52404,52385,00:00,00:00,00:00,00:00,08:43,00:00,00:11
deepdivesubmit2000.chtc.wisc.edu,213,343,181,15000,2686,3429,1,12,181,177,00:00,00:47,01:29,02:34,09:12,01:53,01:34
townsend-submit.chtc.wisc.edu,185,265,19,49152,31739,73243,1,0,19,15,00:46,01:12,09:31,22:47,41:18,13:57,13:19
login04.hep.wisc.edu,153,154,21937,2500,0,733,1,21612,21937,21937,00:00,00:00,00:00,00:00,16:49,00:00,00:13
batlabsubmit0001.chtc.wisc.edu,99,343,830,9829,0,9766,1,550,830,633,00:00,00:00,00:00,01:00,03:03,00:24,00:43
osg-sw-submit.chtc.wisc.edu,77,109,935,2048,74,2198,1,252,935,941,00:00,00:00,00:02,00:07,01:50,00:07,00:10
htcondor.erc.wisc.edu,39,39,1,4096,2571,2571,1,0,1,1,39:05,39:05,39:05,39:05,39:05,39:05,00:00
login05.hep.wisc.edu,15,15,43,2000,123,318,1,0,43,43,00:15,00:18,00:18,00:23,00:28,00:20,00:03
submittest0000.chtc.wisc.edu,5,11,114,1664,235,663,1,0,114,56,00:02,00:03,00:05,00:06,00:31,00:05,00:03
mir-submit1.discovery.wisc.edu,2,3,80,1,0,1,1,29,80,78,00:00,00:00,00:01,00:01,00:53,00:02,00:08
wid-submit.discovery.wisc.edu,1,1,2,4000,734,1465,4,0,2,2,00:08,00:08,00:10,00:08,00:13,00:10,00:03
testpost-serv-1.aoc.nrao.edu,0,0,1,1,1,1,12,0,1,1,00:01,00:01,00:01,00:01,00:01,00:01,00:00
