Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
submit2.chtc.wisc.edu,66495,71508,87460,256000,4,73243,16,6004,87580,88140,00:00,00:01,00:02,00:04,116:38,00:15,02:02
submit3.chtc.wisc.edu,39594,68085,22608,14650,2930,7325,1,290,28212,28883,00:00,00:20,01:22,02:16,570:32,03:00,13:54
sub-1.icecube.wisc.edu,27667,29816,72762,6144,733,7325,2,15155,74077,74088,00:00,00:01,00:10,00:27,08:45,00:24,00:41
wrightsubmit.chtc.wisc.edu,24416,26927,141580,2000,1317,1364,1,0,154874,160958,00:03,00:06,00:08,00:12,01:23,00:11,00:08
submit-1.chtc.wisc.edu,22155,29308,4388,512000,2442,195313,16,311,6758,7352,00:00,00:13,00:18,00:37,101:42,04:10,12:13
lhcb-ce.chtc.wisc.edu,5935,5935,380,2000,1954,2198,1,0,380,381,03:23,07:08,17:32,21:51,36:37,15:37,07:39
sub-simprod-2.icecube.wisc.edu,2605,2934,8260,3850,1465,4151,2,2343,8403,8487,00:00,00:00,00:06,00:20,07:38,00:16,00:35
login02.hep.wisc.edu,1695,3019,68,14000,14649,14649,1,0,283,288,27:38,39:28,44:30,49:22,57:14,44:23,06:36
login01.physics.wisc.edu,1516,2043,70,8192,4151,9766,1,0,102,119,10:13,13:57,18:28,27:07,98:16,29:10,25:45
htcondor.erc.wisc.edu,965,1108,125,4096,2333,3510,1,0,131,136,01:39,05:17,07:03,08:39,96:12,08:51,11:25
osggrid01.hep.wisc.edu,574,574,468,15000,74,14649,8,6,468,470,00:00,00:21,00:21,00:24,15:38,00:31,01:00
deepdivesubmit2000.chtc.wisc.edu,333,457,202,4029,2686,2686,1,1,206,260,00:00,00:55,01:43,03:07,07:33,02:15,01:44
townsend-submit.chtc.wisc.edu,183,274,17,16384,9766,17090,1,1,17,11,00:00,08:38,20:38,22:39,28:30,16:06,09:00
login03.hep.wisc.edu,171,677,1262,3000,30,2442,1,0,5048,5050,00:21,00:21,00:22,00:47,01:15,00:32,00:16
roy-submit.discovery.wisc.edu,113,149,6,34180,7325,17090,1,0,7,7,18:00,18:00,19:02,19:20,54:53,24:53,14:42
cmsgrid01.hep.wisc.edu,108,108,81,20000,1,3663,8,0,81,81,00:06,00:10,00:10,00:10,05:45,00:17,00:51
osg-sw-submit.chtc.wisc.edu,104,141,1042,2048,74,2198,1,290,1043,1061,00:00,00:00,00:02,00:06,02:44,00:08,00:14
wid-submit.discovery.wisc.edu,71,71,6,4000,3174,3174,4,0,6,6,01:24,01:24,02:30,02:56,04:42,02:58,01:25
batlabsubmit0001.chtc.wisc.edu,45,212,304,7388,0,7325,1,177,331,223,00:00,00:00,00:00,01:10,04:26,00:41,01:10
exocet.bmrb.wisc.edu,8,333,6,2198,2198,2198,1,0,7,6,00:29,00:29,01:59,03:24,184:46,55:29,85:03
submittest0000.chtc.wisc.edu,3,3,6,2048,45,1056,1,0,6,6,00:06,00:06,00:09,00:10,01:27,00:33,00:40
mir-submit1.discovery.wisc.edu,1,83,37,128,0,1,1,11,37,34,00:00,00:00,00:01,00:01,35:19,02:14,08:13
