Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
submit-1.chtc.wisc.edu,30245,30539,10191,65536,0,26856,16,8782,10454,10517,00:00,00:00,00:00,00:00,74:13,02:58,10:07
submit3.chtc.wisc.edu,24768,30700,9999,65536,74,34180,2,2,10941,12222,00:00,00:07,00:09,01:46,170:27,02:28,09:20
roy-submit.discovery.wisc.edu,17826,23330,10355,53712,1709,29297,1,0,69156,69604,00:21,01:27,01:48,02:07,351:20,01:43,08:02
submit2.chtc.wisc.edu,15469,15482,6191,65536,928,29297,16,1811,6199,6195,00:00,00:00,00:04,01:32,2212:16,02:29,29:30
cmsgrid01.hep.wisc.edu,12315,12315,206,20000,1,14649,8,0,206,206,00:01,00:01,00:02,09:20,480:37,59:47,147:49
sub-1.icecube.wisc.edu,7739,9049,2351,10240,245,9766,1,160,2733,4276,00:00,02:19,03:31,05:07,58:16,03:17,03:14
login05.hep.wisc.edu,5125,6076,1276,3000,123,171,1,1,1276,1216,00:00,00:08,00:49,08:47,22:35,04:01,05:08
login01.hep.wisc.edu,4985,8648,355,14000,7325,9766,1,0,551,547,00:06,09:04,31:04,37:28,255:15,14:02,19:51
lhcb-ce.chtc.wisc.edu,3273,3273,415,2000,1465,1709,1,0,415,418,02:51,04:55,05:36,06:48,29:17,07:53,05:35
osggrid01.hep.wisc.edu,2955,2955,1539,15000,2,1954,8,0,1539,1570,00:15,00:20,00:21,00:22,75:45,01:55,05:26
sub-simprod-2.icecube.wisc.edu,2633,4376,1242,3850,1465,3663,2,22,1569,1746,00:00,00:26,00:53,03:53,102:19,02:07,06:30
login03.hep.wisc.edu,2314,2518,15009,2500,147,977,1,7922,15016,14718,00:00,00:00,00:00,00:05,04:15,00:09,00:29
htcondor.erc.wisc.edu,1850,1855,126,4096,2213,3465,1,0,127,127,05:47,11:31,14:45,17:23,43:01,14:41,04:28
login06.hep.wisc.edu,773,1156,8687,3000,10,7325,1,8294,8687,8561,00:00,00:00,00:00,00:00,46:38,00:05,01:31
roy-exec-1.discovery.wisc.edu,616,2234,10,51200,7325,7325,1,0,408,423,195:44,200:05,226:26,229:07,264:15,61:36,20:20
osghost.chtc.wisc.edu,548,576,266,2048,2198,2198,1,13,269,303,00:00,01:05,02:06,03:10,08:11,02:03,01:16
login01.physics.wisc.edu,221,222,9,4096,2930,3174,1,0,9,14,21:09,22:00,22:35,24:44,29:03,24:35,03:17
exocet.bmrb.wisc.edu,12,219,3,665,453,489,1,0,5,4,02:35,02:35,85:19,85:19,131:15,04:01,65:12
learn.chtc.wisc.edu,5,5,11,2048,171,1954,1,0,11,11,00:01,00:02,00:03,00:08,02:49,00:24,00:51
wid-submit.discovery.wisc.edu,2,2,2,114688,109864,122071,1,0,4,4,01:05,01:05,01:13,01:05,01:20,01:11,00:11
submittest0000.chtc.wisc.edu,0,0,5,64,1,1,1,5,5,5,00:00,00:00,00:00,00:00,00:00,00:00,00:00
