Schedd,Completed Hours,Used Hours,Uniq Job Ids,Request Mem,Used Mem,Max Mem,Request Cpus,Short Jobs,All Jobs,NumShadowStarts,Min,25%,Median,75%,Max,Mean,Std
sub-1.icecube.wisc.edu,77642,91532,82924,6144,733,7325,1,18514,87249,87376,00:00,00:05,00:19,01:17,37:53,01:06,02:16
submit3.chtc.wisc.edu,75563,87006,42396,19532,977,9766,1,12,55487,57035,00:00,00:55,01:23,01:59,515:09,02:03,06:48
submit2.chtc.wisc.edu,67968,68120,96015,51200,5,73243,16,10826,97523,97716,00:00,00:02,00:05,00:11,51:28,00:12,01:12
submit-1.chtc.wisc.edu,22275,28204,9604,195314,342,122071,32,1571,10798,11264,00:00,00:03,00:23,00:44,4668:47,02:24,48:12
cmsgrid01.hep.wisc.edu,14347,14347,191,20000,1,21973,8,0,191,191,00:01,00:01,00:02,00:25,60:11,09:24,19:38
login05.hep.wisc.edu,4839,4972,16504,5000,13,2442,1,14556,16505,16477,00:00,00:00,00:00,00:00,46:54,00:18,01:18
osggrid01.hep.wisc.edu,3186,3186,666,15000,13,17090,8,1,666,716,00:00,00:20,00:21,00:23,22:51,01:02,03:05
lhcb-ce.chtc.wisc.edu,2869,2913,313,2000,1709,2198,1,2,320,402,00:00,04:54,05:47,14:38,30:14,09:18,07:10
login02.hep.wisc.edu,2826,3016,1744,14000,196,7325,1,0,1754,1691,00:02,00:06,00:10,03:09,13:36,01:43,02:23
exocet.bmrb.wisc.edu,952,1238,368,3516,318,2198,1,0,525,532,00:07,01:53,02:59,03:58,21:40,03:21,02:01
login03.hep.wisc.edu,552,979,253,3000,220,7325,1,157,758,773,00:00,00:01,00:02,07:47,21:16,03:52,05:34
login01.physics.wisc.edu,540,579,13,4096,3174,4151,1,0,18,42,37:41,43:37,44:29,44:36,49:39,44:33,02:47
deepdivesubmit2000.chtc.wisc.edu,317,467,152,4029,2442,2686,1,0,157,217,00:03,01:35,02:38,03:49,07:52,03:04,02:03
roy-submit.discovery.wisc.edu,283,555,10,130000,37842,122071,1,0,29,33,15:11,16:05,43:05,55:45,136:15,55:30,45:07
htcondor.erc.wisc.edu,261,261,9,4096,2551,3519,1,0,9,9,01:05,03:30,38:39,42:49,49:23,29:02,19:19
osg-sw-submit.chtc.wisc.edu,110,148,1068,2048,74,2198,1,308,1068,1084,00:00,00:00,00:02,00:06,03:12,00:08,00:16
wid-submit.discovery.wisc.edu,71,97,30,4000,977,3418,4,0,34,34,00:05,00:09,00:13,00:17,09:38,00:48,02:10
townsend-submit.chtc.wisc.edu,45,60,19,24576,7325,19532,1,0,19,14,00:06,00:13,04:13,05:18,06:06,03:10,02:20
mir-submit1.discovery.wisc.edu,11,18,58,2,0,2,1,1,58,55,00:00,00:01,00:10,00:22,03:37,00:19,00:39
login04.hep.wisc.edu,0,0,96,1000,74,98,1,96,96,96,00:00,00:00,00:00,00:00,00:00,00:00,00:00
submittest0000.chtc.wisc.edu,0,0,1,69,6,6,1,0,1,3,00:02,00:02,00:02,00:02,00:02,00:02,00:00
